case_id,pollutant_name,parent_smiles,parent_inchikey,input_policy
"SPD-BBD-2,4-d","2,4-Dichlorophenoxyacetic Acid",O=C([O-])COc1ccc(Cl)cc1Cl,OVSKIKFHRZPJSS-UHFFFAOYSA-M,strict_single_parent_no_coproduct_v0_1
SPD-BBD-ala,Alachlor,CCc1cccc(CC)c1N(COC)C(=O)CCl,XCSGPAVHZFQHGE-UHFFFAOYSA-N,strict_single_parent_no_coproduct_v0_1
SPD-BBD-atr,Atrazine,CCNc1nc(Cl)nc(NC(C)C)n1,MXWJVTOOROXGIU-UHFFFAOYSA-N,strict_single_parent_no_coproduct_v0_1
SPD-BBD-bpa,Bisphenol A,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,IISBACLAFKSPIT-UHFFFAOYSA-N,strict_single_parent_no_coproduct_v0_1
SPD-BBD-caf,Caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,RYYVLZVUVIJVGH-UHFFFAOYSA-N,strict_single_parent_no_coproduct_v0_1
SPD-BBD-cbf,Carbofuran,CNC(=O)Oc1cccc2c1OC(C)(C)C2,DUEPRVBVGDRKAG-UHFFFAOYSA-N,strict_single_parent_no_coproduct_v0_1
SPD-BBD-dce,"1,2-Dichloroethane",ClCCCl,WSLDOOZREJYCGB-UHFFFAOYSA-N,strict_single_parent_no_coproduct_v0_1
SPD-BBD-dmta,"N,N-Diethyl-m-toluamide",CCN(CC)C(=O)c1cccc(C)c1,MMOXZBCLCQITDF-UHFFFAOYSA-N,strict_single_parent_no_coproduct_v0_1
SPD-BBD-gly,Glyphosate,O=C([O-])CNCP(=O)([O-])[O-],XDDAORKBJWWYJS-UHFFFAOYSA-K,strict_single_parent_no_coproduct_v0_1
SPD-BBD-mal,Malathion,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,JXSJBGJIGXNWCI-UHFFFAOYSA-N,strict_single_parent_no_coproduct_v0_1
SPD-BBD-naph,Naphthalene,c1ccc2ccccc2c1,UFWIBTONFRDIAS-UHFFFAOYSA-N,strict_single_parent_no_coproduct_v0_1
SPD-BBD-nb,Nitrobenzene,O=[N+]([O-])c1ccccc1,LQNUZADURLCDLV-UHFFFAOYSA-N,strict_single_parent_no_coproduct_v0_1
SPD-BBD-pha,Phenanthrene,c1ccc2c(c1)ccc1ccccc12,YNPNZTXNASCQKK-UHFFFAOYSA-N,strict_single_parent_no_coproduct_v0_1
SPD-BBD-pthn,Parathion,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,LCCNCVORNKJIRZ-UHFFFAOYSA-N,strict_single_parent_no_coproduct_v0_1
SPD-BBD-pyr,Pyrene,c1cc2ccc3cccc4ccc(c1)c2c34,BBEAQIROQSPTKN-UHFFFAOYSA-N,strict_single_parent_no_coproduct_v0_1
SPD-BBD-tbp2,Tetrabromobisphenol A,CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1,VEORPZCZECFIRK-UHFFFAOYSA-N,strict_single_parent_no_coproduct_v0_1
SPD-BBD-tce2,Tetrachloroethene,ClC(Cl)=C(Cl)Cl,CYTYCFOTNPOANT-UHFFFAOYSA-N,strict_single_parent_no_coproduct_v0_1
SPD-BBD-tol,Toluene,Cc1ccccc1,YXFVVABEGXRONW-UHFFFAOYSA-N,strict_single_parent_no_coproduct_v0_1
