case_id,pollutant_name,parent_comp_id,parent_smiles_original,parent_smiles_canonical,parent_inchikey,accepted_product_count,reaction_ids,product_names,product_inchikeys,case_note
"SPD-BBD-2,4-d","2,4-Dichlorophenoxyacetic Acid",c0288,[O-]C(=O)COc1ccc(Cl)cc1Cl,O=C([O-])COc1ccc(Cl)cc1Cl,OVSKIKFHRZPJSS-UHFFFAOYSA-M,1,r0280,4-Chlorophenoxyacetate,SODPIMGUZLOIPE-UHFFFAOYSA-M,Accepted products are direct first-generation EAWAG-BBD outcomes represented as single product molecules.
SPD-BBD-ala,Alachlor,c1441,CCc1cccc(CC)c1N(COC)C(=O)CCl,CCc1cccc(CC)c1N(COC)C(=O)CCl,XCSGPAVHZFQHGE-UHFFFAOYSA-N,1,r1693,"2-Hydroxy-2',6'-diethyl-N-acetanilide",CEFLNPUKMSWYFB-UHFFFAOYSA-N,Accepted products are direct first-generation EAWAG-BBD outcomes represented as single product molecules.
SPD-BBD-atr,Atrazine,c0002,CCNc1nc(Cl)nc(NC(C)C)n1,CCNc1nc(Cl)nc(NC(C)C)n1,MXWJVTOOROXGIU-UHFFFAOYSA-N,3,r0113|r0118|r0127,Hydroxyatrazine|Deisopropylatrazine|Deethylatrazine,NFMIMWNQWAWNDW-UHFFFAOYSA-N|IVENSCMCQBJAKW-UHFFFAOYSA-N|DFWFIQKMSFGDCQ-UHFFFAOYSA-N,Accepted products are direct first-generation EAWAG-BBD outcomes represented as single product molecules.
SPD-BBD-bpa,Bisphenol A,c0764,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,IISBACLAFKSPIT-UHFFFAOYSA-N,2,r0860|r0861,"1,2-bis(4-Hydroxyphenyl)-2-propanol|2,2-bis(4-Hydroxyphenyl)-1-propanol",ODPHPWGPPAECAJ-UHFFFAOYSA-N|HHOUSCIEKLBSGQ-UHFFFAOYSA-N,Accepted products are direct first-generation EAWAG-BBD outcomes represented as single product molecules.
SPD-BBD-caf,Caffeine,c1094,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,Cn1c(=O)c2c(ncn2C)n(C)c1=O,RYYVLZVUVIJVGH-UHFFFAOYSA-N,3,r1247|r1251|r1321,"Theobromine|Paraxanthine|1,3,7-Trimethyluric acid",YAPQBXQYLJRXSA-UHFFFAOYSA-N|QUNWUDVFRNGTCO-UHFFFAOYSA-N|BYXCFUMGEBZDDI-UHFFFAOYSA-N,Accepted products are direct first-generation EAWAG-BBD outcomes represented as single product molecules.
SPD-BBD-cbf,Carbofuran,c1285,CNC(=O)Oc1cccc2CC(C)(C)Oc12,CNC(=O)Oc1cccc2c1OC(C)(C)C2,DUEPRVBVGDRKAG-UHFFFAOYSA-N,3,r1540|r1541|r1549,4-Hydroxycarbofuran|2-Hydroxy-3-(3-methylpropan-2-ol) benzene-N-methylcarbamate|3-Hydroxycarbofuran,SLQAZKPVCRVOTB-UHFFFAOYSA-N|ILKNALUJMWELEO-UHFFFAOYSA-N|RHSUJRQZTQNSLL-UHFFFAOYSA-N,Accepted products are direct first-generation EAWAG-BBD outcomes represented as single product molecules.
SPD-BBD-dce,"1,2-Dichloroethane",c0001,ClCCCl,ClCCCl,WSLDOOZREJYCGB-UHFFFAOYSA-N,1,r0001,2-Chloroethanol,SZIFAVKTNFCBPC-UHFFFAOYSA-N,Accepted products are direct first-generation EAWAG-BBD outcomes represented as single product molecules.
SPD-BBD-dmta,"N,N-Diethyl-m-toluamide",c1352,CCN(CC)C(=O)c1cccc(C)c1,CCN(CC)C(=O)c1cccc(C)c1,MMOXZBCLCQITDF-UHFFFAOYSA-N,2,r1837|r1838,"m -Toluamide|N , N -diethyl-3-(hydroxymethyl)benzamide",FPINATACRXASTP-UHFFFAOYSA-N|FRZJZRVZZNTMAW-UHFFFAOYSA-N,Accepted products are direct first-generation EAWAG-BBD outcomes represented as single product molecules.
SPD-BBD-gly,Glyphosate,c0134,[O-]C(=O)CNCP([O-])([O-])=O,O=C([O-])CNCP(=O)([O-])[O-],XDDAORKBJWWYJS-UHFFFAOYSA-K,1,r0072,Sarcosine,FSYKKLYZXJSNPZ-UHFFFAOYSA-M,Accepted products are direct first-generation EAWAG-BBD outcomes represented as single product molecules.
SPD-BBD-mal,Malathion,c1457,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,JXSJBGJIGXNWCI-UHFFFAOYSA-N,2,r1680|r1701,Diethyl malate|Malaoxon,VKNUORWMCINMRB-UHFFFAOYSA-N|WSORODGWGUUOBO-UHFFFAOYSA-N,Two multi-product reactions are excluded; r1680 retained with evidence downgrade.
