case_id,pollutant_name,parent_comp_id,parent_url,parent_smiles_original,parent_smiles_canonical,parent_inchikey,reaction_id,reaction_url,reaction_text,product_name,product_comp_id,product_url,product_smiles_original,product_smiles_canonical,product_inchikey,evidence_level,note,strict_v0_1_status
"SPD-BBD-2,4-d","2,4-Dichlorophenoxyacetic Acid",c0288,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=c&compID=c0288,[O-]C(=O)COc1ccc(Cl)cc1Cl,O=C([O-])COc1ccc(Cl)cc1Cl,OVSKIKFHRZPJSS-UHFFFAOYSA-M,r0280,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=r&reacID=r0280,,4-Chlorophenoxyacetate,c0294,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c0294&ptype=c,[O-]C(=O)COc1ccc(Cl)cc1,O=C([O-])COc1ccc(Cl)cc1,SODPIMGUZLOIPE-UHFFFAOYSA-M,eawag_bbd_reaction_page,,accepted_strict_single_parent_v0_1
SPD-BBD-ala,Alachlor,c1441,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=c&compID=c1441,CCc1cccc(CC)c1N(COC)C(=O)CCl,CCc1cccc(CC)c1N(COC)C(=O)CCl,XCSGPAVHZFQHGE-UHFFFAOYSA-N,r1693,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=r&reacID=r1693,,"2-Hydroxy-2',6'-diethyl-N-acetanilide",c1449,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c1449&ptype=c,CCc1cccc(CC)c1N(COC)C(=O)CO,CCc1cccc(CC)c1N(COC)C(=O)CO,CEFLNPUKMSWYFB-UHFFFAOYSA-N,eawag_bbd_reaction_page,,accepted_strict_single_parent_v0_1
SPD-BBD-atr,Atrazine,c0002,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=c&compID=c0002,CCNc1nc(Cl)nc(NC(C)C)n1,CCNc1nc(Cl)nc(NC(C)C)n1,MXWJVTOOROXGIU-UHFFFAOYSA-N,r0113,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=r&reacID=r0113,,Hydroxyatrazine,c0161,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c0161&ptype=c,CCNc1nc(O)nc(NC(C)C)n1,CCNc1nc(O)nc(NC(C)C)n1,NFMIMWNQWAWNDW-UHFFFAOYSA-N,eawag_bbd_reaction_page,,accepted_strict_single_parent_v0_1
SPD-BBD-atr,Atrazine,c0002,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=c&compID=c0002,CCNc1nc(Cl)nc(NC(C)C)n1,CCNc1nc(Cl)nc(NC(C)C)n1,MXWJVTOOROXGIU-UHFFFAOYSA-N,r0118,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=r&reacID=r0118,,Deisopropylatrazine,c0166,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c0166&ptype=c,CCNc1nc(N)nc(Cl)n1,CCNc1nc(N)nc(Cl)n1,IVENSCMCQBJAKW-UHFFFAOYSA-N,eawag_bbd_reaction_page,,accepted_strict_single_parent_v0_1
SPD-BBD-atr,Atrazine,c0002,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=c&compID=c0002,CCNc1nc(Cl)nc(NC(C)C)n1,CCNc1nc(Cl)nc(NC(C)C)n1,MXWJVTOOROXGIU-UHFFFAOYSA-N,r0127,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=r&reacID=r0127,,Deethylatrazine,c0169,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c0169&ptype=c,CC(C)Nc1nc(N)nc(Cl)n1,CC(C)Nc1nc(N)nc(Cl)n1,DFWFIQKMSFGDCQ-UHFFFAOYSA-N,eawag_bbd_reaction_page,,accepted_strict_single_parent_v0_1
SPD-BBD-bpa,Bisphenol A,c0764,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=c&compID=c0764,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,IISBACLAFKSPIT-UHFFFAOYSA-N,r0860,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=r&reacID=r0860,,"1,2-bis(4-Hydroxyphenyl)-2-propanol",c0778,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c0778&ptype=c,CC(O)(Cc1ccc(O)cc1)c1ccc(O)cc1,CC(O)(Cc1ccc(O)cc1)c1ccc(O)cc1,ODPHPWGPPAECAJ-UHFFFAOYSA-N,eawag_bbd_reaction_page,,accepted_strict_single_parent_v0_1
SPD-BBD-bpa,Bisphenol A,c0764,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=c&compID=c0764,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,IISBACLAFKSPIT-UHFFFAOYSA-N,r0861,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=r&reacID=r0861,,"2,2-bis(4-Hydroxyphenyl)-1-propanol",c0788,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c0788&ptype=c,CC(CO)(c1ccc(O)cc1)c1ccc(O)cc1,CC(CO)(c1ccc(O)cc1)c1ccc(O)cc1,HHOUSCIEKLBSGQ-UHFFFAOYSA-N,eawag_bbd_reaction_page,,accepted_strict_single_parent_v0_1
SPD-BBD-caf,Caffeine,c1094,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=c&compID=c1094,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,Cn1c(=O)c2c(ncn2C)n(C)c1=O,RYYVLZVUVIJVGH-UHFFFAOYSA-N,r1247,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=r&reacID=r1247,,Theobromine,c1095,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c1095&ptype=c,Cn1cnc2n(C)c(=O)[nH]c(=O)c12,Cn1cnc2c1c(=O)[nH]c(=O)n2C,YAPQBXQYLJRXSA-UHFFFAOYSA-N,eawag_bbd_reaction_page,,accepted_strict_single_parent_v0_1
SPD-BBD-caf,Caffeine,c1094,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=c&compID=c1094,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,Cn1c(=O)c2c(ncn2C)n(C)c1=O,RYYVLZVUVIJVGH-UHFFFAOYSA-N,r1251,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=r&reacID=r1251,,Paraxanthine,c1102,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c1102&ptype=c,Cn1cnc2[nH]c(=O)n(C)c(=O)c12,Cn1c(=O)[nH]c2ncn(C)c2c1=O,QUNWUDVFRNGTCO-UHFFFAOYSA-N,eawag_bbd_reaction_page,,accepted_strict_single_parent_v0_1
SPD-BBD-caf,Caffeine,c1094,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=c&compID=c1094,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,Cn1c(=O)c2c(ncn2C)n(C)c1=O,RYYVLZVUVIJVGH-UHFFFAOYSA-N,r1321,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=r&reacID=r1321,,"1,3,7-Trimethyluric acid",c1153,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c1153&ptype=c,CN1c2[nH]c(=O)n(C)c2C(=O)N(C)C1=O,Cn1c(=O)c2c([nH]c(=O)n2C)n(C)c1=O,BYXCFUMGEBZDDI-UHFFFAOYSA-N,eawag_bbd_reaction_page,,accepted_strict_single_parent_v0_1
