case_id,case_status,accepted_product_count,prediction_count,first_hit_rank,hit_at_1,hit_at_3,hit_at_5,hit_at_10,reciprocal_rank_at_10,recovered_product_count_at_10,product_recall_at_10
"SPD-BBD-2,4-d",ok,1,4,3,0,1,1,1,0.3333333333333333,1,1.0
SPD-BBD-ala,ok,1,10,1,1,1,1,1,1.0,1,1.0
SPD-BBD-atr,ok,3,6,3,0,1,1,1,0.3333333333333333,3,1.0
SPD-BBD-bpa,ok,2,1,1,1,1,1,1,1.0,1,0.5
SPD-BBD-caf,ok,3,4,1,1,1,1,1,1.0,2,0.6666666666666666
SPD-BBD-cbf,ok,3,3,1,1,1,1,1,1.0,1,0.3333333333333333
SPD-BBD-dce,ok,1,2,1,1,1,1,1,1.0,1,1.0
SPD-BBD-dmta,ok,2,4,1,1,1,1,1,1.0,1,0.5
SPD-BBD-gly,ok,1,5,5,0,0,1,1,0.2,1,1.0
SPD-BBD-mal,ok,2,10,4,0,0,1,1,0.25,1,0.5
SPD-BBD-naph,ok,2,2,1,1,1,1,1,1.0,1,0.5
SPD-BBD-nb,ok,2,4,3,0,1,1,1,0.3333333333333333,1,0.5
SPD-BBD-pha,ok,4,5,5,0,0,1,1,0.2,1,0.25
SPD-BBD-pthn,ok,2,4,1,1,1,1,1,1.0,2,1.0
SPD-BBD-pyr,ok,3,2,,0,0,0,0,0.0,0,0.0
SPD-BBD-tbp2,ok,1,3,2,0,1,1,1,0.5,1,1.0
SPD-BBD-tce2,ok,1,1,1,1,1,1,1,1.0,1,1.0
SPD-BBD-tol,ok,5,2,,0,0,0,0,0.0,0,0.0
