case_id,case_status,accepted_product_count,prediction_count,first_hit_rank,hit_at_1,hit_at_3,hit_at_5,hit_at_10,reciprocal_rank_at_10,recovered_product_count_at_10,product_recall_at_10
"SPD-BBD-2,4-d",ok,1,9,,0,0,0,0,0.0,0,0.0
SPD-BBD-ala,ok,1,10,,0,0,0,0,0.0,0,0.0
SPD-BBD-atr,ok,3,10,,0,0,0,0,0.0,0,0.0
SPD-BBD-bpa,ok,2,10,,0,0,0,0,0.0,0,0.0
SPD-BBD-caf,ok,3,9,2,0,1,1,1,0.5,1,0.3333333333333333
SPD-BBD-cbf,ok,3,7,,0,0,0,0,0.0,0,0.0
SPD-BBD-dce,ok,1,10,,0,0,0,0,0.0,0,0.0
SPD-BBD-dmta,ok,2,10,,0,0,0,0,0.0,0,0.0
SPD-BBD-gly,ok,1,7,,0,0,0,0,0.0,0,0.0
SPD-BBD-mal,ok,2,8,,0,0,0,0,0.0,0,0.0
SPD-BBD-naph,ok,2,8,,0,0,0,0,0.0,0,0.0
SPD-BBD-nb,ok,2,10,,0,0,0,0,0.0,0,0.0
SPD-BBD-pha,ok,4,9,,0,0,0,0,0.0,0,0.0
SPD-BBD-pthn,ok,2,9,,0,0,0,0,0.0,0,0.0
SPD-BBD-pyr,ok,3,10,,0,0,0,0,0.0,0,0.0
SPD-BBD-tbp2,ok,1,10,,0,0,0,0,0.0,0,0.0
SPD-BBD-tce2,ok,1,8,,0,0,0,0,0.0,0,0.0
SPD-BBD-tol,ok,5,9,,0,0,0,0,0.0,0,0.0
