case_id,product_name,product_inchikey,first_recovered_rank,recovered_at_1,recovered_at_3,recovered_at_5,recovered_at_10
"SPD-BBD-2,4-d",4-Chlorophenoxyacetate,SODPIMGUZLOIPE-UHFFFAOYSA-M,,0,0,0,0
SPD-BBD-ala,"2-Hydroxy-2',6'-diethyl-N-acetanilide",CEFLNPUKMSWYFB-UHFFFAOYSA-N,,0,0,0,0
SPD-BBD-atr,Hydroxyatrazine,NFMIMWNQWAWNDW-UHFFFAOYSA-N,,0,0,0,0
SPD-BBD-atr,Deisopropylatrazine,IVENSCMCQBJAKW-UHFFFAOYSA-N,,0,0,0,0
SPD-BBD-atr,Deethylatrazine,DFWFIQKMSFGDCQ-UHFFFAOYSA-N,,0,0,0,0
SPD-BBD-bpa,"1,2-bis(4-Hydroxyphenyl)-2-propanol",ODPHPWGPPAECAJ-UHFFFAOYSA-N,,0,0,0,0
SPD-BBD-bpa,"2,2-bis(4-Hydroxyphenyl)-1-propanol",HHOUSCIEKLBSGQ-UHFFFAOYSA-N,,0,0,0,0
SPD-BBD-caf,Theobromine,YAPQBXQYLJRXSA-UHFFFAOYSA-N,2,0,1,1,1
SPD-BBD-caf,Paraxanthine,QUNWUDVFRNGTCO-UHFFFAOYSA-N,,0,0,0,0
SPD-BBD-caf,"1,3,7-Trimethyluric acid",BYXCFUMGEBZDDI-UHFFFAOYSA-N,,0,0,0,0
SPD-BBD-cbf,4-Hydroxycarbofuran,SLQAZKPVCRVOTB-UHFFFAOYSA-N,,0,0,0,0
SPD-BBD-cbf,2-Hydroxy-3-(3-methylpropan-2-ol) benzene-N-methylcarbamate,ILKNALUJMWELEO-UHFFFAOYSA-N,,0,0,0,0
SPD-BBD-cbf,3-Hydroxycarbofuran,RHSUJRQZTQNSLL-UHFFFAOYSA-N,,0,0,0,0
SPD-BBD-dce,2-Chloroethanol,SZIFAVKTNFCBPC-UHFFFAOYSA-N,,0,0,0,0
SPD-BBD-dmta,m -Toluamide,FPINATACRXASTP-UHFFFAOYSA-N,,0,0,0,0
SPD-BBD-dmta,"N , N -diethyl-3-(hydroxymethyl)benzamide",FRZJZRVZZNTMAW-UHFFFAOYSA-N,,0,0,0,0
SPD-BBD-gly,Sarcosine,FSYKKLYZXJSNPZ-UHFFFAOYSA-M,,0,0,0,0
SPD-BBD-mal,Diethyl malate,VKNUORWMCINMRB-UHFFFAOYSA-N,,0,0,0,0
SPD-BBD-mal,Malaoxon,WSORODGWGUUOBO-UHFFFAOYSA-N,,0,0,0,0
SPD-BBD-naph,"cis-1,2-Dihydroxy-1,2-dihydronaphthalene",QPUHWUSUBHNZCG-VHSXEESVSA-N,,0,0,0,0
SPD-BBD-naph,"2,3-Dihydroxynaphthalene",JRNGUTKWMSBIBF-UHFFFAOYSA-N,,0,0,0,0
SPD-BBD-nb,Nitrosobenzene,NLRKCXQQSUWLCH-UHFFFAOYSA-N,,0,0,0,0
SPD-BBD-nb,Catechol,YCIMNLLNPGFGHC-UHFFFAOYSA-N,,0,0,0,0
SPD-BBD-pha,"cis-3,4-Dihydroxy-3,4-dihydrophenanthrene",FOTICWSJABVKPW-JSGCOSHPSA-N,,0,0,0,0
SPD-BBD-pha,"Phenanthrene-1,2-oxide",ALTXUIJFJAHUPS-UHFFFAOYSA-N,,0,0,0,0
SPD-BBD-pha,"Phenanthrene-9,10-oxide",PXPGRGGVENWVBD-UHFFFAOYSA-N,,0,0,0,0
SPD-BBD-pha,1-Phenanthrol,GTBXZWADMKOZQJ-UHFFFAOYSA-N,,0,0,0,0
SPD-BBD-pthn,Paraoxon,WYMSBXTXOHUIGT-UHFFFAOYSA-N,,0,0,0,0
SPD-BBD-pthn,Aminoparathion,XIZOTXGJXSTQDI-UHFFFAOYSA-N,,0,0,0,0
SPD-BBD-pyr,"cis-4,5-Dihydroxy-4,5-dihydropyrene",NIUGQCSXPHANNG-IYBDPMFKSA-N,,0,0,0,0
SPD-BBD-pyr,"Pyrene-4,5-oxide",RJCXKHSGIOKCID-UHFFFAOYSA-N,,0,0,0,0
SPD-BBD-pyr,"Pyrene-1,2-oxide",IRYBKFGKUNZRSI-UHFFFAOYSA-N,,0,0,0,0
SPD-BBD-tbp2,"3,3',5-Tribromobisphenol A",WYBOEVJIVYIEJL-UHFFFAOYSA-N,,0,0,0,0
SPD-BBD-tce2,"1,1,2-Trichloroethylene",XSTXAVWGXDQKEL-UHFFFAOYSA-N,,0,0,0,0
SPD-BBD-tol,"Toluene-cis-1,2-dihydrodiol",FTZZKLFGNQOODA-RQJHMYQMSA-N,,0,0,0,0
SPD-BBD-tol,4-Hydroxytoluene,IWDCLRJOBJJRNH-UHFFFAOYSA-N,,0,0,0,0
SPD-BBD-tol,2-Hydroxytoluene,QWVGKYWNOKOFNN-UHFFFAOYSA-N,,0,0,0,0
SPD-BBD-tol,Benzyl alcohol,WVDDGKGOMKODPV-UHFFFAOYSA-N,,0,0,0,0
SPD-BBD-tol,3-Hydroxytoluene,RLSSMJSEOOYNOY-UHFFFAOYSA-N,,0,0,0,0
