input_row_number,case_id,pollutant_name,parent_smiles
1,SPD-BBD2-PARENT-c0001,"1,2-Dichloroethane",ClCCCl
2,SPD-BBD2-PARENT-c0002,Atrazine,CCNc1nc(Cl)nc(NC(C)C)n1
3,SPD-BBD2-PARENT-c0006,Gallate,Oc1cc(cc(O)c1O)C([O-])=O
4,SPD-BBD2-PARENT-c0018,"1,3-Dichloro-2-propanol",OC(CCl)CCl
5,SPD-BBD2-PARENT-c0039,Dibenzofuran,c1ccc2c(c1)oc1ccccc21
6,SPD-BBD2-PARENT-c0116,Ethylbenzene,CCc1ccccc1
7,SPD-BBD2-PARENT-c0118,Dibenzothiophene,c1ccc2c(c1)sc1ccccc21
8,SPD-BBD2-PARENT-c0121,Benzoate,[O-]C(=O)c1ccccc1
9,SPD-BBD2-PARENT-c0134,Glyphosate,[O-]C(=O)CNCP([O-])([O-])=O
10,SPD-BBD2-PARENT-c0139,"beta -1,2,3,4,5,6-Hexachlorocyclohexane",Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@H](Cl)[C@@H](Cl)[C@@H]1Cl
11,SPD-BBD2-PARENT-c0148,Acrylonitrile,C=CC#N
12,SPD-BBD2-PARENT-c0153,( R )-Mandelate,O[C@@H](C([O-])=O)c1ccccc1
13,SPD-BBD2-PARENT-c0163,Cyanuric acid,Oc1nc(O)nc(O)n1
14,SPD-BBD2-PARENT-c0177,4-Chlorobiphenyl,Clc1ccc(cc1)-c1ccccc1
15,SPD-BBD2-PARENT-c0233,Dichloromethane,ClCCl
16,SPD-BBD2-PARENT-c0236,Dimethyl Sulfoxide,CS(C)=O
17,SPD-BBD2-PARENT-c0245,2-Aminobenzenesulfonate,Nc1ccccc1S([O-])(=O)=O
18,SPD-BBD2-PARENT-c0286,cis -3-Chloroacrylic acid,[O-]C(=O)\C=C/Cl
19,SPD-BBD2-PARENT-c0288,"2,4-Dichlorophenoxyacetic acid",[O-]C(=O)COc1ccc(Cl)cc1Cl
20,SPD-BBD2-PARENT-c0345,2-Aminobenzoate,Nc1ccccc1C([O-])=O
21,SPD-BBD2-PARENT-c0352,1-Aminocyclopropane-1-carboxylate,NC1(CC1)C([O-])=O
22,SPD-BBD2-PARENT-c0367,Benzonitrile,N#Cc1ccccc1
23,SPD-BBD2-PARENT-c0371,Biphenyl,c1ccc(cc1)-c1ccccc1
24,SPD-BBD2-PARENT-c0375,p -Cymene,CC(C)c1ccc(C)cc1
25,SPD-BBD2-PARENT-c0388,Fluorene,C1c2ccccc2-c2ccccc12
26,SPD-BBD2-PARENT-c0407,(+)-Camphor,CC1(C)C2CCC1(C)C(=O)C2
27,SPD-BBD2-PARENT-c0426,Dibenzo-p-dioxin,O1c2ccccc2Oc2ccccc12
28,SPD-BBD2-PARENT-c0432,epsilon -Caprolactam,O=C1CCCCCN1
29,SPD-BBD2-PARENT-c0444,Carbazole,c1ccc2c(c1)[nH]c1ccccc21
30,SPD-BBD2-PARENT-c0480,Bromoxynil,Oc1c(Br)cc(cc1Br)C#N
31,SPD-BBD2-PARENT-c0486,Carbon Tetrachloride,ClC(Cl)(Cl)Cl
32,SPD-BBD2-PARENT-c0526,Acetylene,C#C
33,SPD-BBD2-PARENT-c0563,Dodecyl sulfate,CCCCCCCCCCCCOS([O-])(=O)=O
34,SPD-BBD2-PARENT-c0593,"1,4-Dichlorobenzene",Clc1ccc(Cl)cc1
35,SPD-BBD2-PARENT-c0597,Cyanamide,NC#N
36,SPD-BBD2-PARENT-c0604,Adamantanone,O=C1C2CC3CC(C2)CC1C3
37,SPD-BBD2-PARENT-c0612,"cis -1,3-Dichloropropene",ClC\C=C/Cl
