UniprotID,manifest_order_index,base_completed,assigned_shard,assigned_gpu,assignment_reason
A0A009IHW8,0,true,,,base_completed
A0A017SPL2,1,true,,,base_completed
A0A023GS29,2,true,,,base_completed
A0A059WGE7,3,true,,,base_completed
A0A059WI14,4,true,,,base_completed
A0A061FLA2,5,true,,,base_completed
A0A067DDU9,6,true,,,base_completed
A0A067DKP1,7,true,,,base_completed
A0A067ECN5,8,true,,,base_completed
A0A067FI21,9,true,,,base_completed
A0A075D654,10,true,,,base_completed
A0A075D6M1,11,true,,,base_completed
A0A077EYL8,12,true,,,base_completed
A0A089LCJ8,13,true,,,base_completed
A0A089MMR2,14,true,,,base_completed
A0A0E0S0W9,15,true,,,base_completed
A0A0E1RWL5,16,true,,,base_completed
A0A0F4YI33,17,true,,,base_completed
A0A0F7TWW9,18,true,,,base_completed
A0A0F9X418,19,true,,,base_completed
A0A0G2JDV3,20,true,,,base_completed
A0A0G2JZ79,21,true,,,base_completed
A0A0H2V660,22,true,,,base_completed
A0A0H2V760,23,true,,,base_completed
A0A0H3DK98,24,true,,,base_completed
A0A0H3DN66,25,true,,,base_completed
A0A0H3GEM5,26,true,,,base_completed
A0A0H3LSV1,27,true,,,base_completed
A0A0H3LVU7,28,true,,,base_completed
A0A0J9UVX2,29,true,,,base_completed
A0A0J9X285,30,true,,,base_completed
A0A0M2H929,31,true,,,base_completed
A0A0M8N4S6,32,true,,,base_completed
A0A0M8N8I0,33,true,,,base_completed
A0A0M8N9Q3,34,true,,,base_completed
A0A0M9VUI4,35,true,,,base_completed
A0A0M9VUJ4,36,true,,,base_completed
A0A0P0FGV9,37,true,,,base_completed
A0A0Q9K4R6,38,true,,,base_completed
A0A0Q9K529,39,true,,,base_completed
A0A0Q9KFZ4,40,true,,,base_completed
A0A0S0MVI5,41,true,,,base_completed
A0A0S0MX59,42,true,,,base_completed
A0A0S0N8M3,43,true,,,base_completed
A0A0S0N9S9,44,true,,,base_completed
A0A0U3AB61,45,true,,,base_completed
A0A0U3S9Q3,46,true,,,base_completed
A0A0U4AHM6,47,true,,,base_completed
A0A0U4BHM2,48,true,,,base_completed
A0A0U5G0B1,49,true,,,base_completed
A0A0X1KHF9,50,true,,,base_completed
A0A125SXN3,51,true,,,base_completed
A0A125YY17,52,true,,,base_completed
A0A125YYB5,53,true,,,base_completed
A0A140LIF8,54,true,,,base_completed
A0A166ACJ5,55,true,,,base_completed
A0A179UL48,56,true,,,base_completed
A0A194VNL2,57,true,,,base_completed
A0A194W185,58,true,,,base_completed
A0A194WDG1,59,true,,,base_completed
A0A1B5KW97,60,true,,,base_completed
A0A1C3NEV1,61,true,,,base_completed
A0A1D8PJ01,62,true,,,base_completed
A0A1D9Q0B7,63,true,,,base_completed
A0A1D9QMS2,64,true,,,base_completed
A0A1E3M8P2,65,true,,,base_completed
A0A1E5RIW9,66,true,,,base_completed
A0A1E5S1A9,67,true,,,base_completed
A0A1F5L592,68,true,,,base_completed
A0A1H1YBL2,69,true,,,base_completed
A0A1L7NVA6,70,false,0,0,remaining_order_0_mod_4
A0A1L9X985,71,false,1,1,remaining_order_1_mod_4
A0A1Q5Q699,72,false,2,2,remaining_order_2_mod_4
A0A1S1YUU1,73,false,3,3,remaining_order_3_mod_4
A0A1U8CC89,74,false,0,0,remaining_order_4_mod_4
A0A1V0QSF4,75,false,1,1,remaining_order_5_mod_4
A0A1V0QSF8,76,false,2,2,remaining_order_6_mod_4
A0A1V0QSG0,77,false,3,3,remaining_order_7_mod_4
A0A1V0QSG6,78,false,0,0,remaining_order_8_mod_4
A0A1V0QSH7,79,false,1,1,remaining_order_9_mod_4
A0A217ER65,80,false,2,2,remaining_order_10_mod_4
A0A218NGS0,81,false,3,3,remaining_order_11_mod_4
A0A224AU14,82,false,0,0,remaining_order_12_mod_4
A0A2G0QDN4,83,false,1,1,remaining_order_13_mod_4
A0A2G0QDP0,84,false,2,2,remaining_order_14_mod_4
A0A2H1K3G9,85,false,3,3,remaining_order_15_mod_4
A0A2H5BHG9,86,false,0,0,remaining_order_16_mod_4
A0A2H5BHJ6,87,false,1,1,remaining_order_17_mod_4
A0A2I1CSG1,88,false,2,2,remaining_order_18_mod_4
A0A2I1CSG7,89,false,3,3,remaining_order_19_mod_4
A0A2I1CSH5,90,false,0,0,remaining_order_20_mod_4
A0A2I1CSH6,91,false,1,1,remaining_order_21_mod_4
A0A2I1CSH9,92,false,2,2,remaining_order_22_mod_4
A0A2K3D179,93,false,3,3,remaining_order_23_mod_4
A0A2L0V130,94,false,0,0,remaining_order_24_mod_4
A0A2L0V161,95,false,1,1,remaining_order_25_mod_4
A0A2P5I554,96,false,2,2,remaining_order_26_mod_4
A0A2T1AE85,97,false,3,3,remaining_order_27_mod_4
A0A2Z5P0W7,98,false,0,0,remaining_order_28_mod_4
A0A2Z5P2H9,99,false,1,1,remaining_order_29_mod_4
A0A2Z5U367,100,false,2,2,remaining_order_30_mod_4
A0A2Z5U368,101,false,3,3,remaining_order_31_mod_4
A0A2Z5U3C2,102,false,0,0,remaining_order_32_mod_4
A0A2Z5U507,103,false,1,1,remaining_order_33_mod_4
A0A2Z5U6I9,104,false,2,2,remaining_order_34_mod_4
A0A2Z5UFJ1,105,false,3,3,remaining_order_35_mod_4
A0A345MJY6,106,false,0,0,remaining_order_36_mod_4
A0A364MYA3,107,false,1,1,remaining_order_37_mod_4
A0A384JQC9,108,false,2,2,remaining_order_38_mod_4
A0A3B6EFE3,109,false,3,3,remaining_order_39_mod_4
A0A3B6UEU3,110,false,0,0,remaining_order_40_mod_4
A0A3Q0KQY7,111,false,1,1,remaining_order_41_mod_4
A0A3Q7GYG2,112,false,2,2,remaining_order_42_mod_4
A0A3R5XUE6,113,false,3,3,remaining_order_43_mod_4
A0A423V942,114,false,0,0,remaining_order_44_mod_4
A0A423VZH2,115,false,1,1,remaining_order_45_mod_4
A0A423WA64,116,false,2,2,remaining_order_46_mod_4
A0A429XC68,117,false,3,3,remaining_order_47_mod_4
A0A429XCI2,118,false,0,0,remaining_order_48_mod_4
A0A429XDI3,119,false,1,1,remaining_order_49_mod_4
A0A437A6S9,120,false,2,2,remaining_order_50_mod_4
A0A498JQK2,121,false,3,3,remaining_order_51_mod_4
A0A499W357,122,false,0,0,remaining_order_52_mod_4
A0A4P1QUJ3,123,false,1,1,remaining_order_53_mod_4
A0A4S4DBB3,124,false,2,2,remaining_order_54_mod_4
A0A4S4ESS1,125,false,3,3,remaining_order_55_mod_4
A0A4X1T4U3,126,false,0,0,remaining_order_56_mod_4
A0A516KNH9,127,false,1,1,remaining_order_57_mod_4
A0A559KX76,128,false,2,2,remaining_order_58_mod_4
A0A565D474,129,false,3,3,remaining_order_59_mod_4
A0A565D475,130,false,0,0,remaining_order_60_mod_4
A0A565D477,131,false,1,1,remaining_order_61_mod_4
A0A5B8ND22,132,false,2,2,remaining_order_62_mod_4
A0A5B8X6A1,133,false,3,3,remaining_order_63_mod_4
A0A5B8X6B5,134,false,0,0,remaining_order_64_mod_4
A0A5B8X6S2,135,false,1,1,remaining_order_65_mod_4
A0A5B8X7E6,136,false,2,2,remaining_order_66_mod_4
A0A5B8X7H4,137,false,3,3,remaining_order_67_mod_4
A0A5B8X840,138,false,0,0,remaining_order_68_mod_4
A0A5B8XAH0,139,false,1,1,remaining_order_69_mod_4
A0A5B8XB28,140,false,2,2,remaining_order_70_mod_4
A0A5B8XC60,141,false,3,3,remaining_order_71_mod_4
A0A5B8Z1N3,142,false,0,0,remaining_order_72_mod_4
A0A5C0SBK3,143,false,1,1,remaining_order_73_mod_4
A0A5J5NT52,144,false,2,2,remaining_order_74_mod_4
A0A5J5T2N2,145,false,3,3,remaining_order_75_mod_4
A0A5N6TQK6,146,false,0,0,remaining_order_76_mod_4
A0A5N6TQL1,147,false,1,1,remaining_order_77_mod_4
A0A5N6TQN5,148,false,2,2,remaining_order_78_mod_4
A0A5N6TR74,149,false,3,3,remaining_order_79_mod_4
A0A649V088,150,false,0,0,remaining_order_80_mod_4
A0A6A6H2E0,151,false,1,1,remaining_order_81_mod_4
A0A6A6H402,152,false,2,2,remaining_order_82_mod_4
A0A6M7H989,153,false,3,3,remaining_order_83_mod_4
A0A6N3IN21,154,false,0,0,remaining_order_84_mod_4
A0A7H0DN19,155,false,1,1,remaining_order_85_mod_4
A0A7H0DN21,156,false,2,2,remaining_order_86_mod_4
A0A7H0DN27,157,false,3,3,remaining_order_87_mod_4
A0A7H0DN30,158,false,0,0,remaining_order_88_mod_4
A0A7H0DN45,159,false,1,1,remaining_order_89_mod_4
A0A7H0DN52,160,false,2,2,remaining_order_90_mod_4
A0A7H0DN56,161,false,3,3,remaining_order_91_mod_4
A0A7H0DN73,162,false,0,0,remaining_order_92_mod_4
A0A7H0DN74,163,false,1,1,remaining_order_93_mod_4
A0A7H0DN78,164,false,2,2,remaining_order_94_mod_4
A0A7H0DN85,165,false,3,3,remaining_order_95_mod_4
A0A7H0DN93,166,false,0,0,remaining_order_96_mod_4
A0A7H0DN95,167,false,1,1,remaining_order_97_mod_4
A0A7H0DNE2,168,false,2,2,remaining_order_98_mod_4
A0A7H0DNE5,169,false,3,3,remaining_order_99_mod_4
A0A7H0DNE9,170,false,0,0,remaining_order_100_mod_4
A0A7H0DNF0,171,false,1,1,remaining_order_101_mod_4
A0A7J6HK32,172,false,2,2,remaining_order_102_mod_4
A0A7L5EB83,173,false,3,3,remaining_order_103_mod_4
A0A7S7NT01,174,false,0,0,remaining_order_104_mod_4
A0A7T8F1I4,175,false,1,1,remaining_order_105_mod_4
A0A7T8F1J6,176,false,2,2,remaining_order_106_mod_4
A0A7T8F1J7,177,false,3,3,remaining_order_107_mod_4
A0A7T8F1L1,178,false,0,0,remaining_order_108_mod_4
A0A7T8F1L3,179,false,1,1,remaining_order_109_mod_4
A0A7T8F1M6,180,false,2,2,remaining_order_110_mod_4
A0A7T8F1M9,181,false,3,3,remaining_order_111_mod_4
A0A7T8F1N2,182,false,0,0,remaining_order_112_mod_4
A0A7T8J1U7,183,false,1,1,remaining_order_113_mod_4
A0A7T8J1Z8,184,false,2,2,remaining_order_114_mod_4
A0A7U2MMF3,185,false,3,3,remaining_order_115_mod_4
A0A7U2QYM2,186,false,0,0,remaining_order_116_mod_4
A0A7U3TBV3,187,false,1,1,remaining_order_117_mod_4
A0A7U3TBV6,188,false,2,2,remaining_order_118_mod_4
A0A7U3TCA2,189,false,3,3,remaining_order_119_mod_4
A0A803PDZ0,190,false,0,0,remaining_order_120_mod_4
A0A868BQY3,191,false,1,1,remaining_order_121_mod_4
A0A8B6XWW9,192,false,2,2,remaining_order_122_mod_4
A0A8B8BQ58,193,false,3,3,remaining_order_123_mod_4
A0A8C2MDK8,194,false,0,0,remaining_order_124_mod_4
A0A8D5M3Y5,195,false,1,1,remaining_order_125_mod_4
