item,value,note
blind_parent_cases,93,BBD full-route v0.3/v3.1 strict blind parent inputs
old_BBD83_compatible_cases,83,scope_a_old83_compatible
new_v0_3_candidate_cases,10,scope_b_v0_3_candidate
local_scoreable_route_cases,92,one case has zero route edge in current restricted answer graph
zero_route_edge_case,FR-BBD3-CAND-c0105 Chlorobenzene,excluded from answer-based score denominator
strict_blind_csv_sha256,be11658b0ede11093bb8bb833281994cb2f507629eaf7b3524de74a4e46acb66,blind input only
strict_blind_archive_sha256,ea9bf0497592f686013c789d42259260c2c69ba00d8a073435d6408cf2e02d90,strict blind archive
category_halogenated_compound,20,含卤代污染物
category_aromatic_xenobiotic,3,芳香族外源污染物
category_polycyclic_aromatic_hydrocarbon,2,多环芳烃
category_pesticide_or_herbicide,1,农药/除草剂
category_triazine_herbicide,2,三嗪类除草剂
category_carbamate_pesticide,1,氨基甲酸酯类农药
category_organophosphorus_pesticide,1,有机磷农药
category_nitroaromatic,1,硝基芳香族污染物
category_pharmaceutical_or_personal_care,1,药物/个人护理品相关
category_plasticizer_flame_retardant_endocrine,3,塑化剂/阻燃剂/内分泌干扰物
category_other_eawag_bbd_xenobiotic,57,其他 EAWAG-BBD 外源化合物
category_unclassified_candidate,1,未分类候选
