full_route_case_id,pollutant_name,pollutant_category,tool_id,k,status,reference_node_count_excluding_root,predicted_node_count_excluding_root,reference_max_depth,predicted_max_depth,weighted_tp,weighted_fp,weighted_fn,weighted_precision,weighted_recall,weighted_jaccard,unweighted_tp_node_count,unweighted_fp_node_count,unweighted_fn_node_count,intermediate_node_count,removed_self_loop_edge_count,invalid_prediction_row_count,notes
FR-BBD3-PARENT-c0001,"1,2-Dichloroethane",scope_a_old83_compatible,biotransformer_envmicro,1,SCORED,4,6,4,6,0.9375,0.046875,0,0.952381,1.0,0.952381,4,2,0,0,2,17,
FR-BBD3-PARENT-c0002,Atrazine,scope_a_old83_compatible,biotransformer_envmicro,1,SCORED,11,2,4,2,0,0.75,2.9375,0.0,0.0,0.0,0,2,11,0,0,4,
FR-BBD3-PARENT-c0006,Gallate,scope_a_old83_compatible,biotransformer_envmicro,1,SCORED,7,6,6,6,0,0.984375,1.484375,0.0,0.0,0.0,0,6,7,0,0,0, has_unreachable_true_nodes
FR-BBD3-PARENT-c0018,"1,3-Dichloro-2-propanol",scope_a_old83_compatible,biotransformer_envmicro,1,SCORED,4,6,4,6,0.25,0.484375,0.6875,0.340426,0.266667,0.175824,1,5,3,0,2,0,
FR-BBD3-PARENT-c0039,Dibenzofuran,scope_a_old83_compatible,biotransformer_envmicro,1,NO_PREDICTION,4,0,3,0,0,0,1.0,0.0,0.0,0.0,0,0,4,0,0,1,no_prediction_after_topk
FR-BBD3-PARENT-c0116,Ethylbenzene,scope_a_old83_compatible,biotransformer_envmicro,1,SCORED,16,6,6,6,0.375,0.234375,2.3125,0.615385,0.139535,0.128342,2,4,14,0,0,11,
FR-BBD3-PARENT-c0118,Dibenzothiophene,scope_a_old83_compatible,biotransformer_envmicro,1,SCORED,6,6,4,6,0,0.984375,1.6875,0.0,0.0,0.0,0,6,6,0,1,11,
FR-BBD3-PARENT-c0121,Benzoate,scope_a_old83_compatible,biotransformer_envmicro,1,SCORED,14,6,6,6,0,0.984375,2.734375,0.0,0.0,0.0,0,6,14,0,0,8, has_unreachable_true_nodes
FR-BBD3-PARENT-c0134,Glyphosate,scope_a_old83_compatible,biotransformer_envmicro,1,SCORED,5,6,3,6,0.5,0.484375,1.375,0.507937,0.266667,0.211921,1,5,4,0,1,9,
FR-BBD3-PARENT-c0139,"beta -1,2,3,4,5,6-Hexachlorocyclohexane",scope_a_old83_compatible,biotransformer_envmicro,1,SCORED,6,6,4,6,0.8125,0.046875,0.875,0.945455,0.481481,0.468468,3,2,3,1,0,2,
FR-BBD3-PARENT-c0148,Acrylonitrile,scope_a_old83_compatible,biotransformer_envmicro,1,SCORED,5,6,4,6,0.5,0.484375,0.9375,0.507937,0.347826,0.260163,1,5,4,0,0,1,
FR-BBD3-PARENT-c0153,( R )-Mandelate,scope_a_old83_compatible,biotransformer_envmicro,1,SCORED,2,4,2,4,0.5,0.4375,0.25,0.533333,0.666667,0.421053,1,3,1,0,0,11,
FR-BBD3-PARENT-c0163,Cyanuric acid,scope_a_old83_compatible,biotransformer_envmicro,1,SCORED,2,6,2,6,0.5,0.484375,0.25,0.507937,0.666667,0.405063,1,5,1,0,0,9,
FR-BBD3-PARENT-c0177,4-Chlorobiphenyl,scope_a_old83_compatible,biotransformer_envmicro,1,SCORED,8,6,6,6,0,0.984375,1.0625,0.0,0.0,0.0,0,6,8,0,0,19,
FR-BBD3-PARENT-c0233,Dichloromethane,scope_a_old83_compatible,biotransformer_envmicro,1,SCORED,3,2,2,2,0.75,0,0.5,1.0,0.6,0.6,2,0,1,0,1,0, has_unreachable_true_nodes
FR-BBD3-PARENT-c0236,Dimethyl Sulfoxide,scope_a_old83_compatible,biotransformer_envmicro,1,SCORED,4,2,3,2,0,0.75,1.125,0.0,0.0,0.0,0,2,4,0,1,0,
FR-BBD3-PARENT-c0245,2-Aminobenzenesulfonate,scope_a_old83_compatible,biotransformer_envmicro,1,SCORED,2,6,2,6,0,0.984375,0.75,0.0,0.0,0.0,0,6,2,0,0,12,
FR-BBD3-PARENT-c0286,cis -3-Chloroacrylic acid,scope_a_old83_compatible,biotransformer_envmicro,1,SCORED,2,6,2,6,0.5,0.109375,0.25,0.820513,0.666667,0.581818,1,3,1,2,0,1,
FR-BBD3-PARENT-c0288,"2,4-Dichlorophenoxyacetic acid",scope_a_old83_compatible,biotransformer_envmicro,1,SCORED,18,6,6,6,0.5,0.484375,2.140625,0.507937,0.189349,0.16,1,5,17,0,0,8, has_unreachable_true_nodes
FR-BBD3-PARENT-c0345,2-Aminobenzoate,scope_a_old83_compatible,biotransformer_envmicro,1,SCORED,4,6,2,6,0,0.984375,1.75,0.0,0.0,0.0,0,6,4,0,1,14,
FR-BBD3-PARENT-c0352,1-Aminocyclopropane-1-carboxylate,scope_a_old83_compatible,biotransformer_envmicro,1,NO_PREDICTION,2,0,2,0,0,0,0.75,0.0,0.0,0.0,0,0,2,0,0,1,no_prediction_after_topk
FR-BBD3-PARENT-c0367,Benzonitrile,scope_a_old83_compatible,biotransformer_envmicro,1,SCORED,2,6,1,6,0.5,0.484375,0.5,0.507937,0.5,0.336842,1,5,1,0,0,14,
FR-BBD3-PARENT-c0371,Biphenyl,scope_a_old83_compatible,biotransformer_envmicro,1,SCORED,5,6,4,6,0,0.984375,1.0,0.0,0.0,0.0,0,6,5,0,0,14,
FR-BBD3-PARENT-c0375,p -Cymene,scope_a_old83_compatible,biotransformer_envmicro,1,SCORED,6,6,6,6,0,0.984375,0.984375,0.0,0.0,0.0,0,6,6,0,0,6, has_unreachable_true_nodes
FR-BBD3-PARENT-c0388,Fluorene,scope_a_old83_compatible,biotransformer_envmicro,1,SCORED,24,6,6,6,0.625,0.234375,3.1875,0.727273,0.163934,0.15444,2,4,22,0,1,16, has_unreachable_true_nodes
FR-BBD3-PARENT-c0407,(+)-Camphor,scope_a_old83_compatible,biotransformer_envmicro,1,SCORED,7,6,6,6,0.75,0.234375,0.25,0.761905,0.75,0.607595,2,4,5,0,1,1,
FR-BBD3-PARENT-c0426,Dibenzo-p-dioxin,scope_a_old83_compatible,biotransformer_envmicro,1,NO_PREDICTION,4,0,3,0,0,0,1.0,0.0,0.0,0.0,0,0,4,0,0,1,no_prediction_after_topk
FR-BBD3-PARENT-c0432,epsilon -Caprolactam,scope_a_old83_compatible,biotransformer_envmicro,1,SCORED,2,6,2,6,0,0.984375,0.75,0.0,0.0,0.0,0,6,2,0,0,0,
FR-BBD3-PARENT-c0444,Carbazole,scope_a_old83_compatible,biotransformer_envmicro,1,NO_PREDICTION,4,0,3,0,0,0,1.0,0.0,0.0,0.0,0,0,4,0,0,1,no_prediction_after_topk
FR-BBD3-PARENT-c0480,Bromoxynil,scope_a_old83_compatible,biotransformer_envmicro,1,SCORED,7,6,4,6,0,0.984375,2.1875,0.0,0.0,0.0,0,6,7,0,0,22,
FR-BBD3-PARENT-c0486,Carbon Tetrachloride,scope_a_old83_compatible,biotransformer_envmicro,1,SCORED,6,4,4,4,0.9375,0,1.0,1.0,0.483871,0.483871,4,0,2,0,1,0,
FR-BBD3-PARENT-c0526,Acetylene,scope_a_old83_compatible,biotransformer_envmicro,1,NO_PREDICTION,5,0,3,0,0,0,1.5,0.0,0.0,0.0,0,0,5,0,0,1,no_prediction_after_topk
FR-BBD3-PARENT-c0563,Dodecyl sulfate,scope_a_old83_compatible,biotransformer_envmicro,1,SCORED,4,6,4,6,0.875,0.109375,0.0625,0.888889,0.933333,0.835821,3,3,1,0,0,0,
FR-BBD3-PARENT-c0593,"1,4-Dichlorobenzene",scope_a_old83_compatible,biotransformer_envmicro,1,SCORED,5,6,4,6,0.25,0.484375,1.1875,0.340426,0.173913,0.130081,1,5,4,0,0,7,
FR-BBD3-PARENT-c0597,Cyanamide,scope_a_old83_compatible,biotransformer_envmicro,1,SCORED,1,6,1,6,0.5,0.484375,0,0.507937,1.0,0.507937,1,5,0,0,0,7,
FR-BBD3-PARENT-c0604,Adamantanone,scope_a_old83_compatible,biotransformer_envmicro,1,SCORED,3,6,2,6,0.5,0.484375,0.75,0.507937,0.4,0.288288,1,5,2,0,0,0,
FR-BBD3-PARENT-c0612,"cis -1,3-Dichloropropene",scope_a_old83_compatible,biotransformer_envmicro,1,SCORED,3,6,3,6,0.875,0.109375,0,0.888889,1.0,0.888889,3,3,0,0,1,0,
