full_route_case_id,tool_id,k,intermediate_smiles,upstream_true_node,downstream_true_node,original_pred_depth,shortest_predicted_path
FR-BBD3-PARENT-c0139,biotransformer_envmicro,1,ClC1C=CC=CC1Cl,ClC1C=CC(Cl)C(Cl)C1Cl,c1ccccc1,2,ClC1C=CC(Cl)C(Cl)C1Cl->ClC1C=CC=CC1Cl->c1ccccc1
FR-BBD3-PARENT-c0286,biotransformer_envmicro,1,O=C([O-])CC(O)Cl,O=C([O-])C=CCl,O=CCC(=O)[O-],1,O=C([O-])C=CCl->O=C([O-])CC(O)Cl->O=C([O-])CCO->O=CCC(=O)[O-]
FR-BBD3-PARENT-c0286,biotransformer_envmicro,1,O=C([O-])CCO,O=C([O-])C=CCl,O=CCC(=O)[O-],2,O=C([O-])C=CCl->O=C([O-])CC(O)Cl->O=C([O-])CCO->O=CCC(=O)[O-]
FR-BBD3-PARENT-c1285,biotransformer_envmicro,1,CNC(=O)Oc1cc(O)cc(CC(C)(C)O)c1O,CNC(=O)Oc1cccc(CC(C)(C)O)c1O,CN,2,CNC(=O)Oc1cccc(CC(C)(C)O)c1O->CNC(=O)Oc1cc(O)cc(CC(C)(C)O)c1O->CN
FR-BBD3-PARENT-c1354,biotransformer_envmicro,1,OC1COCCO1,C1COCCO1,O=C1COCCO1,1,C1COCCO1->OC1COCCO1->O=C1COCCO1
FR-BBD3-CAND-c0620,biotransformer_envmicro,1,O=C([O-])CC(O)Cl,O=C([O-])C=CCl,O=CCC(=O)[O-],1,O=C([O-])C=CCl->O=C([O-])CC(O)Cl->O=C([O-])CCO->O=CCC(=O)[O-]
FR-BBD3-CAND-c0620,biotransformer_envmicro,1,O=C([O-])CCO,O=C([O-])C=CCl,O=CCC(=O)[O-],2,O=C([O-])C=CCl->O=C([O-])CC(O)Cl->O=C([O-])CCO->O=CCC(=O)[O-]
FR-BBD3-PARENT-c0139,biotransformer_envmicro,3,ClC1C=CC=CC1Cl,ClC1C=CC(Cl)C(Cl)C1Cl,c1ccccc1,2,ClC1C=CC(Cl)C(Cl)C1Cl->ClC1C=CC=CC1Cl->c1ccccc1
FR-BBD3-PARENT-c0286,biotransformer_envmicro,3,O=C([O-])CC(O)Cl,O=C([O-])C=CCl,O=CCC(=O)[O-],1,O=C([O-])C=CCl->O=C([O-])CC(O)Cl->O=C([O-])CCO->O=CCC(=O)[O-]
FR-BBD3-PARENT-c0286,biotransformer_envmicro,3,O=C([O-])CCO,O=C([O-])C=CCl,O=CCC(=O)[O-],2,O=C([O-])C=CCl->O=C([O-])CC(O)Cl->O=C([O-])CCO->O=CCC(=O)[O-]
FR-BBD3-PARENT-c0388,biotransformer_envmicro,3,O=C([O-])Cc1ccccc1C=CCC(=O)C(=O)[O-],O=C([O-])C(O)=CC=C1C(=O)Cc2ccccc21,CC(=O)C(=O)[O-],3,O=C([O-])C(O)=CC=C1C(=O)Cc2ccccc21->O=C([O-])Cc1ccccc1C=CCC(=O)C(=O)[O-]->CC(=O)C(=O)[O-]
FR-BBD3-PARENT-c0653,biotransformer_envmicro,3,O=CC=CC=C(O)C(=O)[O-],CC(=O)N(c1ccccc1)C(C)C,CC(=O)[O-],3,CC(=O)N(c1ccccc1)C(C)C->Oc1ccccc1O->O=CC=CC=C(O)C(=O)[O-]->O=C([O-])C=CC=C(O)C(=O)[O-]->O=C([O-])CCC=C(O)C(=O)[O-]->CC(=O)[O-]
FR-BBD3-PARENT-c0653,biotransformer_envmicro,3,O=C([O-])C=CC=C(O)C(=O)[O-],CC(=O)N(c1ccccc1)C(C)C,CC(=O)[O-],4,CC(=O)N(c1ccccc1)C(C)C->Oc1ccccc1O->O=CC=CC=C(O)C(=O)[O-]->O=C([O-])C=CC=C(O)C(=O)[O-]->O=C([O-])CCC=C(O)C(=O)[O-]->CC(=O)[O-]
FR-BBD3-PARENT-c0653,biotransformer_envmicro,3,O=C([O-])CCC=C(O)C(=O)[O-],CC(=O)N(c1ccccc1)C(C)C,CC(=O)[O-],5,CC(=O)N(c1ccccc1)C(C)C->Oc1ccccc1O->O=CC=CC=C(O)C(=O)[O-]->O=C([O-])C=CC=C(O)C(=O)[O-]->O=C([O-])CCC=C(O)C(=O)[O-]->CC(=O)[O-]
FR-BBD3-PARENT-c0653,biotransformer_envmicro,3,CCNc1ncnc(N)n1,CC(C)Nc1ccccc1,Oc1ccccc1O,4,CC(C)Nc1ccccc1->CC(C)=O->CCNc1ncnc(N)n1->Nc1ncnc(N)n1->c1ccccc1->Oc1ccccc1O
FR-BBD3-PARENT-c0653,biotransformer_envmicro,3,Nc1ncnc(N)n1,CC(C)Nc1ccccc1,Oc1ccccc1O,5,CC(C)Nc1ccccc1->CC(C)=O->CCNc1ncnc(N)n1->Nc1ncnc(N)n1->c1ccccc1->Oc1ccccc1O
FR-BBD3-PARENT-c0653,biotransformer_envmicro,3,c1ccccc1,CC(C)Nc1ccccc1,Oc1ccccc1O,6,CC(C)Nc1ccccc1->CC(C)=O->CCNc1ncnc(N)n1->Nc1ncnc(N)n1->c1ccccc1->Oc1ccccc1O
FR-BBD3-PARENT-c0908,biotransformer_envmicro,3,O=CO,O=CNC1CCCCC1,O=C[O-],2,O=CNC1CCCCC1->O=CO->O=S(=O)(Cc1ccccc1)Cc1ccc(O)c(O)c1->O=C[O-]
FR-BBD3-PARENT-c0908,biotransformer_envmicro,3,O=S(=O)(Cc1ccccc1)Cc1ccc(O)c(O)c1,O=CNC1CCCCC1,O=C[O-],3,O=CNC1CCCCC1->O=CO->O=S(=O)(Cc1ccccc1)Cc1ccc(O)c(O)c1->O=C[O-]
FR-BBD3-PARENT-c1354,biotransformer_envmicro,3,OC1COCCO1,C1COCCO1,O=C1COCCO1,1,C1COCCO1->OC1COCCO1->O=C1COCCO1
FR-BBD3-PARENT-c1354,biotransformer_envmicro,3,OC1OCCOC1O,C1COCCO1,OCCO,2,C1COCCO1->OC1COCCO1->OC1OCCOC1O->O=C1OCCOC1O->O=C1OCCOC1=O->O=C([O-])C(=O)OCCO->OCCO
FR-BBD3-PARENT-c1354,biotransformer_envmicro,3,O=C1OCCOC1O,C1COCCO1,OCCO,3,C1COCCO1->OC1COCCO1->OC1OCCOC1O->O=C1OCCOC1O->O=C1OCCOC1=O->O=C([O-])C(=O)OCCO->OCCO
FR-BBD3-PARENT-c1354,biotransformer_envmicro,3,O=C1OCCOC1=O,C1COCCO1,OCCO,4,C1COCCO1->OC1COCCO1->OC1OCCOC1O->O=C1OCCOC1O->O=C1OCCOC1=O->O=C([O-])C(=O)OCCO->OCCO
FR-BBD3-PARENT-c1354,biotransformer_envmicro,3,O=C([O-])C(=O)OCCO,C1COCCO1,OCCO,5,C1COCCO1->OC1COCCO1->OC1OCCOC1O->O=C1OCCOC1O->O=C1OCCOC1=O->O=C([O-])C(=O)OCCO->OCCO
FR-BBD3-PARENT-c1441,biotransformer_envmicro,3,CCc1cccc(CC)c1NC=O,CCc1cccc(CC)c1NCOC,CCc1cccc(CC)c1N,3,CCc1cccc(CC)c1NCOC->CCc1cccc(CC)c1NC=O->CCc1cccc(CC)c1N
FR-BBD3-PARENT-c1441,biotransformer_envmicro,3,CCc1cccc(CC)c1N(C=O)C(=O)CCl,CCc1cccc(CC)c1N(COC)C(=O)CCl,CCc1cccc(CC)c1NC(=O)CCl,1,CCc1cccc(CC)c1N(COC)C(=O)CCl->CCc1cccc(CC)c1N(C=O)C(=O)CCl->CCc1cccc(CC)c1NC(=O)CCl
FR-BBD3-PARENT-c1441,biotransformer_envmicro,3,CCc1cccc(CC)c1NC(=O)C=O,CCc1cccc(CC)c1NC(=O)CO,CCc1cccc(CC)c1N,4,CCc1cccc(CC)c1NC(=O)CO->CCc1cccc(CC)c1NC(=O)C=O->CCc1cccc(CC)c1NC(=O)C(=O)[O-]->CCc1cccc(CC)c1N
FR-BBD3-PARENT-c1441,biotransformer_envmicro,3,CCc1cccc(CC)c1NC(=O)C(=O)[O-],CCc1cccc(CC)c1NC(=O)CO,CCc1cccc(CC)c1N,5,CCc1cccc(CC)c1NC(=O)CO->CCc1cccc(CC)c1NC(=O)C=O->CCc1cccc(CC)c1NC(=O)C(=O)[O-]->CCc1cccc(CC)c1N
FR-BBD3-PARENT-c1457,biotransformer_envmicro,3,CCOC(=O)C(CC(=O)O)SP(=S)(OC)OC,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,CO,1,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC->CCOC(=O)C(CC(=O)O)SP(=S)(OC)OC->COP(=S)(S)OC->CO
FR-BBD3-CAND-c0620,biotransformer_envmicro,3,O=C([O-])CC(O)Cl,O=C([O-])C=CCl,O=CCC(=O)[O-],1,O=C([O-])C=CCl->O=C([O-])CC(O)Cl->O=C([O-])CCO->O=CCC(=O)[O-]
FR-BBD3-CAND-c0620,biotransformer_envmicro,3,O=C([O-])CCO,O=C([O-])C=CCl,O=CCC(=O)[O-],2,O=C([O-])C=CCl->O=C([O-])CC(O)Cl->O=C([O-])CCO->O=CCC(=O)[O-]
FR-BBD3-PARENT-c0139,biotransformer_envmicro,5,ClC1C=CC=CC1Cl,ClC1C=CC(Cl)C(Cl)C1Cl,c1ccccc1,2,ClC1C=CC(Cl)C(Cl)C1Cl->ClC1C=CC=CC1Cl->c1ccccc1
FR-BBD3-PARENT-c0286,biotransformer_envmicro,5,O=C([O-])CC(O)Cl,O=C([O-])C=CCl,O=CCC(=O)[O-],1,O=C([O-])C=CCl->O=C([O-])CC(O)Cl->O=C([O-])CCO->O=CCC(=O)[O-]
FR-BBD3-PARENT-c0286,biotransformer_envmicro,5,O=C([O-])CCO,O=C([O-])C=CCl,O=CCC(=O)[O-],2,O=C([O-])C=CCl->O=C([O-])CC(O)Cl->O=C([O-])CCO->O=CCC(=O)[O-]
