full_route_case_id,tool_id,k,total_input_edge_rows_for_tool,invalid_rows_removed_for_case,self_loop_parent_copy_rows_removed_for_case,total_input_edge_rows_for_case,edges_after_cleaning,predicted_nodes_excluding_root,cap_hit,unreachable_true_node_count,status
FR-BBD3-PARENT-c0001,biotransformer_envmicro,1,8069,17,2,98,79,6,False,0,SCORED
FR-BBD3-PARENT-c0002,biotransformer_envmicro,1,8069,4,0,69,65,2,False,0,SCORED
FR-BBD3-PARENT-c0006,biotransformer_envmicro,1,8069,0,0,83,83,6,False,3,SCORED
FR-BBD3-PARENT-c0018,biotransformer_envmicro,1,8069,0,2,98,96,6,False,0,SCORED
FR-BBD3-PARENT-c0039,biotransformer_envmicro,1,8069,1,0,1,0,0,False,0,NO_PREDICTION
FR-BBD3-PARENT-c0116,biotransformer_envmicro,1,8069,11,0,142,131,6,False,0,SCORED
FR-BBD3-PARENT-c0118,biotransformer_envmicro,1,8069,11,1,173,161,6,False,0,SCORED
FR-BBD3-PARENT-c0121,biotransformer_envmicro,1,8069,8,0,130,122,6,False,6,SCORED
FR-BBD3-PARENT-c0134,biotransformer_envmicro,1,8069,9,1,86,76,6,False,0,SCORED
FR-BBD3-PARENT-c0139,biotransformer_envmicro,1,8069,2,0,19,17,6,False,0,SCORED
FR-BBD3-PARENT-c0148,biotransformer_envmicro,1,8069,1,0,45,44,6,False,0,SCORED
FR-BBD3-PARENT-c0153,biotransformer_envmicro,1,8069,11,0,144,133,4,False,0,SCORED
FR-BBD3-PARENT-c0163,biotransformer_envmicro,1,8069,9,0,111,102,6,False,0,SCORED
FR-BBD3-PARENT-c0177,biotransformer_envmicro,1,8069,19,0,227,208,6,False,0,SCORED
FR-BBD3-PARENT-c0233,biotransformer_envmicro,1,8069,0,1,3,2,2,False,4,SCORED
FR-BBD3-PARENT-c0236,biotransformer_envmicro,1,8069,0,1,3,2,2,False,0,SCORED
FR-BBD3-PARENT-c0245,biotransformer_envmicro,1,8069,12,0,174,162,6,False,0,SCORED
FR-BBD3-PARENT-c0286,biotransformer_envmicro,1,8069,1,0,41,40,6,False,0,SCORED
FR-BBD3-PARENT-c0288,biotransformer_envmicro,1,8069,8,0,95,87,6,False,3,SCORED
FR-BBD3-PARENT-c0345,biotransformer_envmicro,1,8069,14,1,151,136,6,False,0,SCORED
FR-BBD3-PARENT-c0352,biotransformer_envmicro,1,8069,1,0,1,0,0,False,0,NO_PREDICTION
FR-BBD3-PARENT-c0367,biotransformer_envmicro,1,8069,14,0,124,110,6,False,0,SCORED
FR-BBD3-PARENT-c0371,biotransformer_envmicro,1,8069,14,0,165,151,6,False,0,SCORED
FR-BBD3-PARENT-c0375,biotransformer_envmicro,1,8069,6,0,110,104,6,False,3,SCORED
FR-BBD3-PARENT-c0388,biotransformer_envmicro,1,8069,16,1,165,148,6,False,1,SCORED
FR-BBD3-PARENT-c0407,biotransformer_envmicro,1,8069,1,1,30,28,6,False,0,SCORED
FR-BBD3-PARENT-c0426,biotransformer_envmicro,1,8069,1,0,1,0,0,False,0,NO_PREDICTION
FR-BBD3-PARENT-c0432,biotransformer_envmicro,1,8069,0,0,42,42,6,False,0,SCORED
FR-BBD3-PARENT-c0444,biotransformer_envmicro,1,8069,1,0,1,0,0,False,0,NO_PREDICTION
FR-BBD3-PARENT-c0480,biotransformer_envmicro,1,8069,22,0,144,122,6,False,0,SCORED
FR-BBD3-PARENT-c0486,biotransformer_envmicro,1,8069,0,1,5,4,4,False,0,SCORED
FR-BBD3-PARENT-c0526,biotransformer_envmicro,1,8069,1,0,1,0,0,False,0,NO_PREDICTION
FR-BBD3-PARENT-c0563,biotransformer_envmicro,1,8069,0,0,24,24,6,False,0,SCORED
FR-BBD3-PARENT-c0593,biotransformer_envmicro,1,8069,7,0,119,112,6,False,0,SCORED
FR-BBD3-PARENT-c0597,biotransformer_envmicro,1,8069,7,0,79,72,6,False,0,SCORED
FR-BBD3-PARENT-c0604,biotransformer_envmicro,1,8069,0,0,35,35,6,False,0,SCORED
FR-BBD3-PARENT-c0612,biotransformer_envmicro,1,8069,0,1,43,42,6,False,0,SCORED
FR-BBD3-PARENT-c0626,biotransformer_envmicro,1,8069,5,7,115,103,6,False,1,SCORED
FR-BBD3-PARENT-c0639,biotransformer_envmicro,1,8069,0,2,14,12,6,False,0,SCORED
FR-BBD3-PARENT-c0653,biotransformer_envmicro,1,8069,5,1,128,122,5,False,0,SCORED
FR-BBD3-PARENT-c0689,biotransformer_envmicro,1,8069,0,0,15,15,6,False,0,SCORED
FR-BBD3-PARENT-c0691,biotransformer_envmicro,1,8069,0,0,3,3,2,False,0,SCORED
FR-BBD3-PARENT-c0694,biotransformer_envmicro,1,8069,10,0,113,103,6,False,0,SCORED
FR-BBD3-PARENT-c0764,biotransformer_envmicro,1,8069,9,0,55,46,6,False,0,SCORED
FR-BBD3-PARENT-c0765,biotransformer_envmicro,1,8069,13,1,178,164,6,False,0,SCORED
FR-BBD3-PARENT-c0865,biotransformer_envmicro,1,8069,13,0,152,139,6,False,1,SCORED
FR-BBD3-PARENT-c0897,biotransformer_envmicro,1,8069,12,0,107,95,6,False,0,SCORED
FR-BBD3-PARENT-c0908,biotransformer_envmicro,1,8069,7,0,80,73,6,False,0,SCORED
FR-BBD3-PARENT-c0939,biotransformer_envmicro,1,8069,1,0,1,0,0,False,0,NO_PREDICTION
FR-BBD3-PARENT-c0941,biotransformer_envmicro,1,8069,0,0,15,15,6,False,4,SCORED
FR-BBD3-PARENT-c0946,biotransformer_envmicro,1,8069,5,0,127,122,6,False,0,SCORED
FR-BBD3-PARENT-c0991,biotransformer_envmicro,1,8069,30,1,138,107,6,False,0,SCORED
FR-BBD3-PARENT-c1013,biotransformer_envmicro,1,8069,3,0,75,72,6,False,7,SCORED
FR-BBD3-PARENT-c1019,biotransformer_envmicro,1,8069,0,0,94,94,6,False,0,SCORED
FR-BBD3-PARENT-c1039,biotransformer_envmicro,1,8069,2,0,2,0,0,False,0,NO_PREDICTION
FR-BBD3-PARENT-c1043,biotransformer_envmicro,1,8069,3,0,77,74,5,False,0,SCORED
FR-BBD3-PARENT-c1066,biotransformer_envmicro,1,8069,2,0,18,16,6,False,0,SCORED
FR-BBD3-PARENT-c1072,biotransformer_envmicro,1,8069,8,0,117,109,6,False,0,SCORED
FR-BBD3-PARENT-c1078,biotransformer_envmicro,1,8069,0,0,52,52,6,False,9,SCORED
FR-BBD3-PARENT-c1094,biotransformer_envmicro,1,8069,0,0,22,22,6,False,0,SCORED
FR-BBD3-PARENT-c1161,biotransformer_envmicro,1,8069,2,0,26,24,6,False,0,SCORED
FR-BBD3-PARENT-c1182,biotransformer_envmicro,1,8069,0,1,11,10,6,False,0,SCORED
FR-BBD3-PARENT-c1188,biotransformer_envmicro,1,8069,0,0,142,142,6,False,0,SCORED
FR-BBD3-PARENT-c1201,biotransformer_envmicro,1,8069,3,0,5,2,2,False,0,SCORED
FR-BBD3-PARENT-c1263,biotransformer_envmicro,1,8069,9,0,154,145,6,False,0,SCORED
FR-BBD3-PARENT-c1266,biotransformer_envmicro,1,8069,14,0,111,97,6,False,0,SCORED
FR-BBD3-PARENT-c1267,biotransformer_envmicro,1,8069,19,0,141,122,6,False,0,SCORED
FR-BBD3-PARENT-c1285,biotransformer_envmicro,1,8069,17,0,150,133,3,False,0,SCORED
FR-BBD3-PARENT-c1296,biotransformer_envmicro,1,8069,8,0,184,176,6,False,0,SCORED
FR-BBD3-PARENT-c1313,biotransformer_envmicro,1,8069,15,0,172,157,6,False,0,SCORED
FR-BBD3-PARENT-c1350,biotransformer_envmicro,1,8069,7,0,83,76,6,False,0,SCORED
FR-BBD3-PARENT-c1352,biotransformer_envmicro,1,8069,14,0,137,123,5,False,0,SCORED
FR-BBD3-PARENT-c1354,biotransformer_envmicro,1,8069,0,0,56,56,6,False,0,SCORED
FR-BBD3-PARENT-c1383,biotransformer_envmicro,1,8069,6,1,128,121,6,False,0,SCORED
FR-BBD3-PARENT-c1391,biotransformer_envmicro,1,8069,9,0,152,143,6,False,0,SCORED
FR-BBD3-PARENT-c1412,biotransformer_envmicro,1,8069,18,0,223,205,6,False,0,SCORED
FR-BBD3-PARENT-c1441,biotransformer_envmicro,1,8069,0,0,154,154,6,False,0,SCORED
FR-BBD3-PARENT-c1457,biotransformer_envmicro,1,8069,1,1,133,131,3,False,1,SCORED
FR-BBD3-PARENT-c1481,biotransformer_envmicro,1,8069,3,1,81,77,6,False,0,SCORED
FR-BBD3-PARENT-c1524,biotransformer_envmicro,1,8069,10,0,205,195,6,False,0,SCORED
FR-BBD3-PARENT-c1531,biotransformer_envmicro,1,8069,5,1,158,152,6,False,0,SCORED
FR-BBD3-PARENT-c1549,biotransformer_envmicro,1,8069,0,0,107,107,6,False,0,SCORED
FR-BBD3-PARENT-c1586,biotransformer_envmicro,1,8069,5,1,121,115,6,False,0,SCORED
FR-BBD3-CAND-c0620,biotransformer_envmicro,1,8069,1,0,41,40,6,False,0,SCORED
FR-BBD3-CAND-c0611,biotransformer_envmicro,1,8069,0,1,43,42,6,False,0,SCORED
FR-BBD3-CAND-c0282,biotransformer_envmicro,1,8069,10,0,146,136,6,False,0,SCORED
FR-BBD3-CAND-c0257,biotransformer_envmicro,1,8069,3,0,42,39,6,False,0,SCORED
FR-BBD3-CAND-c1376,biotransformer_envmicro,1,8069,18,0,132,114,6,False,0,SCORED
FR-BBD3-CAND-c0971,biotransformer_envmicro,1,8069,0,0,12,12,6,False,0,SCORED
FR-BBD3-CAND-c0141,biotransformer_envmicro,1,8069,2,0,21,19,6,False,1,SCORED
FR-BBD3-CAND-c1570,biotransformer_envmicro,1,8069,2,0,21,19,6,False,0,SCORED
FR-BBD3-CAND-c0347,biotransformer_envmicro,1,8069,2,0,2,0,0,False,0,NO_PREDICTION
FR-BBD3-PARENT-c0001,biotransformer_envmicro,3,8069,17,2,98,79,50,False,0,SCORED
FR-BBD3-PARENT-c0002,biotransformer_envmicro,3,8069,4,0,69,65,17,False,0,SCORED
FR-BBD3-PARENT-c0006,biotransformer_envmicro,3,8069,0,0,83,83,62,False,3,SCORED
FR-BBD3-PARENT-c0018,biotransformer_envmicro,3,8069,0,2,98,96,38,False,0,SCORED
FR-BBD3-PARENT-c0039,biotransformer_envmicro,3,8069,1,0,1,0,0,False,0,NO_PREDICTION
FR-BBD3-PARENT-c0116,biotransformer_envmicro,3,8069,11,0,142,131,79,False,0,SCORED
FR-BBD3-PARENT-c0118,biotransformer_envmicro,3,8069,11,1,173,161,83,False,0,SCORED
FR-BBD3-PARENT-c0121,biotransformer_envmicro,3,8069,8,0,130,122,82,False,6,SCORED
FR-BBD3-PARENT-c0134,biotransformer_envmicro,3,8069,9,1,86,76,55,False,0,SCORED
FR-BBD3-PARENT-c0139,biotransformer_envmicro,3,8069,2,0,19,17,14,False,0,SCORED
FR-BBD3-PARENT-c0148,biotransformer_envmicro,3,8069,1,0,45,44,33,False,0,SCORED
FR-BBD3-PARENT-c0153,biotransformer_envmicro,3,8069,11,0,144,133,90,False,0,SCORED
FR-BBD3-PARENT-c0163,biotransformer_envmicro,3,8069,9,0,111,102,37,False,0,SCORED
FR-BBD3-PARENT-c0177,biotransformer_envmicro,3,8069,19,0,227,208,97,False,0,SCORED
FR-BBD3-PARENT-c0233,biotransformer_envmicro,3,8069,0,1,3,2,2,False,4,SCORED
FR-BBD3-PARENT-c0236,biotransformer_envmicro,3,8069,0,1,3,2,2,False,0,SCORED
FR-BBD3-PARENT-c0245,biotransformer_envmicro,3,8069,12,0,174,162,86,False,0,SCORED
FR-BBD3-PARENT-c0286,biotransformer_envmicro,3,8069,1,0,41,40,30,False,0,SCORED
FR-BBD3-PARENT-c0288,biotransformer_envmicro,3,8069,8,0,95,87,59,False,3,SCORED
FR-BBD3-PARENT-c0345,biotransformer_envmicro,3,8069,14,1,151,136,83,False,0,SCORED
FR-BBD3-PARENT-c0352,biotransformer_envmicro,3,8069,1,0,1,0,0,False,0,NO_PREDICTION
FR-BBD3-PARENT-c0367,biotransformer_envmicro,3,8069,14,0,124,110,83,False,0,SCORED
FR-BBD3-PARENT-c0371,biotransformer_envmicro,3,8069,14,0,165,151,95,False,0,SCORED
FR-BBD3-PARENT-c0375,biotransformer_envmicro,3,8069,6,0,110,104,53,False,3,SCORED
FR-BBD3-PARENT-c0388,biotransformer_envmicro,3,8069,16,1,165,148,99,False,1,SCORED
FR-BBD3-PARENT-c0407,biotransformer_envmicro,3,8069,1,1,30,28,28,False,0,SCORED
FR-BBD3-PARENT-c0426,biotransformer_envmicro,3,8069,1,0,1,0,0,False,0,NO_PREDICTION
FR-BBD3-PARENT-c0432,biotransformer_envmicro,3,8069,0,0,42,42,25,False,0,SCORED
FR-BBD3-PARENT-c0444,biotransformer_envmicro,3,8069,1,0,1,0,0,False,0,NO_PREDICTION
FR-BBD3-PARENT-c0480,biotransformer_envmicro,3,8069,22,0,144,122,67,False,0,SCORED
FR-BBD3-PARENT-c0486,biotransformer_envmicro,3,8069,0,1,5,4,4,False,0,SCORED
FR-BBD3-PARENT-c0526,biotransformer_envmicro,3,8069,1,0,1,0,0,False,0,NO_PREDICTION
FR-BBD3-PARENT-c0563,biotransformer_envmicro,3,8069,0,0,24,24,20,False,0,SCORED
FR-BBD3-PARENT-c0593,biotransformer_envmicro,3,8069,7,0,119,112,80,False,0,SCORED
FR-BBD3-PARENT-c0597,biotransformer_envmicro,3,8069,7,0,79,72,57,False,0,SCORED
FR-BBD3-PARENT-c0604,biotransformer_envmicro,3,8069,0,0,35,35,22,False,0,SCORED
FR-BBD3-PARENT-c0612,biotransformer_envmicro,3,8069,0,1,43,42,34,False,0,SCORED
FR-BBD3-PARENT-c0626,biotransformer_envmicro,3,8069,5,7,115,103,51,False,1,SCORED
FR-BBD3-PARENT-c0639,biotransformer_envmicro,3,8069,0,2,14,12,12,False,0,SCORED
FR-BBD3-PARENT-c0653,biotransformer_envmicro,3,8069,5,1,128,122,51,False,0,SCORED
FR-BBD3-PARENT-c0689,biotransformer_envmicro,3,8069,0,0,15,15,14,False,0,SCORED
FR-BBD3-PARENT-c0691,biotransformer_envmicro,3,8069,0,0,3,3,2,False,0,SCORED
FR-BBD3-PARENT-c0694,biotransformer_envmicro,3,8069,10,0,113,103,71,False,0,SCORED
FR-BBD3-PARENT-c0764,biotransformer_envmicro,3,8069,9,0,55,46,40,False,0,SCORED
FR-BBD3-PARENT-c0765,biotransformer_envmicro,3,8069,13,1,178,164,87,False,0,SCORED
FR-BBD3-PARENT-c0865,biotransformer_envmicro,3,8069,13,0,152,139,97,False,1,SCORED
FR-BBD3-PARENT-c0897,biotransformer_envmicro,3,8069,12,0,107,95,70,False,0,SCORED
FR-BBD3-PARENT-c0908,biotransformer_envmicro,3,8069,7,0,80,73,55,False,0,SCORED
FR-BBD3-PARENT-c0939,biotransformer_envmicro,3,8069,1,0,1,0,0,False,0,NO_PREDICTION
FR-BBD3-PARENT-c0941,biotransformer_envmicro,3,8069,0,0,15,15,14,False,4,SCORED
FR-BBD3-PARENT-c0946,biotransformer_envmicro,3,8069,5,0,127,122,90,False,0,SCORED
FR-BBD3-PARENT-c0991,biotransformer_envmicro,3,8069,30,1,138,107,77,False,0,SCORED
FR-BBD3-PARENT-c1013,biotransformer_envmicro,3,8069,3,0,75,72,61,False,7,SCORED
FR-BBD3-PARENT-c1019,biotransformer_envmicro,3,8069,0,0,94,94,62,False,0,SCORED
FR-BBD3-PARENT-c1039,biotransformer_envmicro,3,8069,2,0,2,0,0,False,0,NO_PREDICTION
FR-BBD3-PARENT-c1043,biotransformer_envmicro,3,8069,3,0,77,74,63,False,0,SCORED
FR-BBD3-PARENT-c1066,biotransformer_envmicro,3,8069,2,0,18,16,13,False,0,SCORED
FR-BBD3-PARENT-c1072,biotransformer_envmicro,3,8069,8,0,117,109,83,False,0,SCORED
FR-BBD3-PARENT-c1078,biotransformer_envmicro,3,8069,0,0,52,52,50,False,9,SCORED
FR-BBD3-PARENT-c1094,biotransformer_envmicro,3,8069,0,0,22,22,20,False,0,SCORED
FR-BBD3-PARENT-c1161,biotransformer_envmicro,3,8069,2,0,26,24,21,False,0,SCORED
FR-BBD3-PARENT-c1182,biotransformer_envmicro,3,8069,0,1,11,10,10,False,0,SCORED
FR-BBD3-PARENT-c1188,biotransformer_envmicro,3,8069,0,0,142,142,47,False,0,SCORED
FR-BBD3-PARENT-c1201,biotransformer_envmicro,3,8069,3,0,5,2,2,False,0,SCORED
FR-BBD3-PARENT-c1263,biotransformer_envmicro,3,8069,9,0,154,145,64,False,0,SCORED
FR-BBD3-PARENT-c1266,biotransformer_envmicro,3,8069,14,0,111,97,51,False,0,SCORED
FR-BBD3-PARENT-c1267,biotransformer_envmicro,3,8069,19,0,141,122,78,False,0,SCORED
FR-BBD3-PARENT-c1285,biotransformer_envmicro,3,8069,17,0,150,133,83,False,0,SCORED
FR-BBD3-PARENT-c1296,biotransformer_envmicro,3,8069,8,0,184,176,104,False,0,SCORED
FR-BBD3-PARENT-c1313,biotransformer_envmicro,3,8069,15,0,172,157,63,False,0,SCORED
FR-BBD3-PARENT-c1350,biotransformer_envmicro,3,8069,7,0,83,76,56,False,0,SCORED
FR-BBD3-PARENT-c1352,biotransformer_envmicro,3,8069,14,0,137,123,37,False,0,SCORED
