tool_id,k,case_count_total,case_count_evaluable,case_count_scored,case_count_no_prediction,macro_weighted_precision,macro_weighted_recall,macro_weighted_jaccard,median_weighted_jaccard,mean_predicted_node_count,mean_reference_node_count,total_weighted_tp,total_weighted_fp,total_weighted_fn,micro_weighted_precision,micro_weighted_recall,micro_weighted_jaccard
biotransformer_envmicro,1,92,92,84,8,0.36002,0.265268,0.215779,0.128342,5.607,6.405,27.796875,51.15625,108.0625,0.352068,0.2046,0.148634
biotransformer_envmicro,3,92,92,84,8,0.222468,0.433754,0.168181,0.140625,50.357,6.405,53.171875,314.5,82.6875,0.144618,0.391374,0.118065
biotransformer_envmicro,5,92,92,84,8,0.214027,0.511701,0.166508,0.120226,72.119,6.405,63.796875,445.71875,72.0625,0.125211,0.46958,0.109696
biotransformer_envmicro,10,92,92,84,8,0.208644,0.518942,0.162672,0.117403,78.548,6.405,65.296875,488.890625,70.5625,0.117825,0.480621,0.104517
envipath_prediction,1,92,92,87,5,0.272219,0.141012,0.122347,0.0,2.851,6.161,17.0625,50.859375,120.984375,0.251208,0.123599,0.090323
envipath_prediction,3,92,92,87,5,0.220296,0.345729,0.143869,0.100946,17.805,6.161,44.0,229.375,94.046875,0.160951,0.318732,0.119753
envipath_prediction,5,92,92,87,5,0.207977,0.406092,0.14783,0.110599,26.115,6.161,55.875,335.671875,82.171875,0.142703,0.404754,0.11795
envipath_prediction,10,92,92,87,5,0.195053,0.421278,0.140885,0.107023,29.701,6.161,59.9375,404.515625,78.109375,0.12905,0.434182,0.110471
eclipse_predec,1,92,92,92,0,0.314536,0.219853,0.177811,0.022989,3.891,6.174,25.15625,55.140625,119.421875,0.313291,0.173998,0.125958
eclipse_predec,3,92,92,92,0,0.122265,0.509666,0.10573,0.106572,55.761,6.174,64.828125,485.0625,79.75,0.117893,0.448395,0.102961
eclipse_predec,5,92,92,92,0,0.074232,0.64472,0.069787,0.064343,121.359,6.174,84.6875,1094.953125,59.890625,0.071791,0.585756,0.068322
eclipse_predec,10,92,92,92,0,0.049917,0.705524,0.048574,0.043746,198.065,6.174,94.765625,1883.640625,49.8125,0.0479,0.655463,0.046724
eclipse_noec,1,92,92,92,0,0.278001,0.188446,0.154744,0.0,3.38,6.174,21.640625,56.890625,122.9375,0.275567,0.149681,0.107414
eclipse_noec,3,92,92,92,0,0.115196,0.428565,0.09995,0.092308,35.38,6.174,57.0,448.328125,87.578125,0.112798,0.394251,0.096137
eclipse_noec,5,92,92,92,0,0.069313,0.512249,0.064546,0.060185,73.413,6.174,69.46875,968.046875,75.109375,0.066957,0.480493,0.062437
eclipse_noec,10,92,92,92,0,0.051269,0.547605,0.048838,0.047986,109.217,6.174,73.96875,1526.703125,70.609375,0.046211,0.511618,0.044259
