tool_id,k,case_count_total,case_count_evaluable,case_count_scored,case_count_no_prediction,macro_all92_weighted_precision,macro_all92_weighted_recall,macro_all92_weighted_jaccard,total_all92_weighted_tp,total_all92_weighted_fp,total_all92_weighted_fn,micro_all92_weighted_precision,micro_all92_weighted_recall,micro_all92_weighted_jaccard
biotransformer_envmicro,1,92,92,84,8,0.328713,0.242201,0.197016,27.796875,51.15625,116.78125,0.352068,0.192262,0.142013
biotransformer_envmicro,3,92,92,84,8,0.203123,0.396036,0.153556,53.171875,314.5,91.40625,0.144618,0.367773,0.115823
biotransformer_envmicro,5,92,92,84,8,0.195416,0.467206,0.152029,63.796875,445.71875,80.78125,0.125211,0.441262,0.108076
biotransformer_envmicro,10,92,92,84,8,0.190501,0.473817,0.148526,65.296875,488.890625,79.28125,0.117825,0.451637,0.103078
envipath_prediction,1,92,92,87,5,0.257425,0.133348,0.115697,17.0625,50.859375,127.515625,0.251208,0.118016,0.087304
envipath_prediction,3,92,92,87,5,0.208323,0.326939,0.13605,44.0,229.375,100.578125,0.160951,0.304334,0.117662
envipath_prediction,5,92,92,87,5,0.196674,0.384022,0.139796,55.875,335.671875,88.703125,0.142703,0.386469,0.116346
envipath_prediction,10,92,92,87,5,0.184452,0.398382,0.133229,59.9375,404.515625,84.640625,0.12905,0.414568,0.109157
eclipse_predec,1,92,92,92,0,0.314536,0.219853,0.177811,25.15625,55.140625,119.421875,0.313291,0.173998,0.125958
eclipse_predec,3,92,92,92,0,0.122265,0.509666,0.10573,64.828125,485.0625,79.75,0.117893,0.448395,0.102961
eclipse_predec,5,92,92,92,0,0.074232,0.64472,0.069787,84.6875,1094.953125,59.890625,0.071791,0.585756,0.068322
eclipse_predec,10,92,92,92,0,0.049917,0.705524,0.048574,94.765625,1883.640625,49.8125,0.0479,0.655463,0.046724
eclipse_noec,1,92,92,92,0,0.278001,0.188446,0.154744,21.640625,56.890625,122.9375,0.275567,0.149681,0.107414
eclipse_noec,3,92,92,92,0,0.115196,0.428565,0.09995,57.0,448.328125,87.578125,0.112798,0.394251,0.096137
eclipse_noec,5,92,92,92,0,0.069313,0.512249,0.064546,69.46875,968.046875,75.109375,0.066957,0.480493,0.062437
eclipse_noec,10,92,92,92,0,0.051269,0.547605,0.048838,73.96875,1526.703125,70.609375,0.046211,0.511618,0.044259
