full_route_case_id,pollutant_name,tool_id,k,weighted_precision,weighted_recall,weighted_jaccard,rank_type
FR-BBD3-PARENT-c0941,Cyclohexane,biotransformer_envmicro,1,1.0,1.0,1.0,top5
FR-BBD3-PARENT-c0001,"1,2-Dichloroethane",biotransformer_envmicro,1,0.952381,1.0,0.952381,top5
FR-BBD3-PARENT-c0612,"cis -1,3-Dichloropropene",biotransformer_envmicro,1,0.888889,1.0,0.888889,top5
FR-BBD3-CAND-c0611,"trans-1,3-Dichloropropene",biotransformer_envmicro,1,0.888889,1.0,0.888889,top5
FR-BBD3-PARENT-c0563,Dodecyl sulfate,biotransformer_envmicro,1,0.888889,0.933333,0.835821,top5
FR-BBD3-PARENT-c1549,"1,5-Anhydro-D-fructose",biotransformer_envmicro,1,0.0,0.0,0.0,bottom5
FR-BBD3-PARENT-c1586,Atenolol,biotransformer_envmicro,1,0.0,0.0,0.0,bottom5
FR-BBD3-CAND-c0282,3-Hydroxytoluene (m-Cresol),biotransformer_envmicro,1,0.0,0.0,0.0,bottom5
FR-BBD3-CAND-c0141,gamma-Hexachlorocyclohexane,biotransformer_envmicro,1,0.0,0.0,0.0,bottom5
FR-BBD3-CAND-c1570,"(R,R)-Iminodisuccinate",biotransformer_envmicro,1,0.0,0.0,0.0,bottom5
FR-BBD3-PARENT-c0941,Cyclohexane,biotransformer_envmicro,3,0.807692,1.0,0.807692,top5
FR-BBD3-PARENT-c0689,Cyclohexylsulfamate,biotransformer_envmicro,3,0.615385,1.0,0.615385,top5
FR-BBD3-PARENT-c0233,Dichloromethane,biotransformer_envmicro,3,1.0,0.6,0.6,top5
FR-BBD3-PARENT-c1354,"1,4-Dioxane",biotransformer_envmicro,3,0.53886,0.962963,0.527919,top5
FR-BBD3-PARENT-c1094,Caffeine,biotransformer_envmicro,3,0.8,0.575758,0.503311,top5
FR-BBD3-PARENT-c1531,Acenaphthylene,biotransformer_envmicro,3,0.0,0.0,0.0,bottom5
FR-BBD3-PARENT-c1549,"1,5-Anhydro-D-fructose",biotransformer_envmicro,3,0.0,0.0,0.0,bottom5
FR-BBD3-PARENT-c1586,Atenolol,biotransformer_envmicro,3,0.0,0.0,0.0,bottom5
FR-BBD3-CAND-c0282,3-Hydroxytoluene (m-Cresol),biotransformer_envmicro,3,0.0,0.0,0.0,bottom5
FR-BBD3-CAND-c0141,gamma-Hexachlorocyclohexane,biotransformer_envmicro,3,0.0,0.0,0.0,bottom5
FR-BBD3-PARENT-c0941,Cyclohexane,biotransformer_envmicro,5,0.807692,1.0,0.807692,top5
FR-BBD3-PARENT-c0689,Cyclohexylsulfamate,biotransformer_envmicro,5,0.615385,1.0,0.615385,top5
FR-BBD3-PARENT-c0233,Dichloromethane,biotransformer_envmicro,5,1.0,0.6,0.6,top5
FR-BBD3-PARENT-c0563,Dodecyl sulfate,biotransformer_envmicro,5,0.509091,0.933333,0.491228,top5
FR-BBD3-PARENT-c0486,Carbon Tetrachloride,biotransformer_envmicro,5,1.0,0.483871,0.483871,top5
FR-BBD3-PARENT-c1266,Bisphenol F,biotransformer_envmicro,5,0.0,0.0,0.0,bottom5
FR-BBD3-PARENT-c1412,Ketoprofen,biotransformer_envmicro,5,0.0,0.0,0.0,bottom5
FR-BBD3-PARENT-c1549,"1,5-Anhydro-D-fructose",biotransformer_envmicro,5,0.0,0.0,0.0,bottom5
FR-BBD3-CAND-c0282,3-Hydroxytoluene (m-Cresol),biotransformer_envmicro,5,0.0,0.0,0.0,bottom5
FR-BBD3-CAND-c0141,gamma-Hexachlorocyclohexane,biotransformer_envmicro,5,0.0,0.0,0.0,bottom5
FR-BBD3-PARENT-c0941,Cyclohexane,biotransformer_envmicro,10,0.807692,1.0,0.807692,top5
FR-BBD3-PARENT-c0689,Cyclohexylsulfamate,biotransformer_envmicro,10,0.615385,1.0,0.615385,top5
FR-BBD3-PARENT-c0233,Dichloromethane,biotransformer_envmicro,10,1.0,0.6,0.6,top5
FR-BBD3-PARENT-c0563,Dodecyl sulfate,biotransformer_envmicro,10,0.504505,0.933333,0.486957,top5
FR-BBD3-PARENT-c0486,Carbon Tetrachloride,biotransformer_envmicro,10,1.0,0.483871,0.483871,top5
FR-BBD3-PARENT-c1266,Bisphenol F,biotransformer_envmicro,10,0.0,0.0,0.0,bottom5
FR-BBD3-PARENT-c1412,Ketoprofen,biotransformer_envmicro,10,0.0,0.0,0.0,bottom5
FR-BBD3-PARENT-c1549,"1,5-Anhydro-D-fructose",biotransformer_envmicro,10,0.0,0.0,0.0,bottom5
FR-BBD3-CAND-c0282,3-Hydroxytoluene (m-Cresol),biotransformer_envmicro,10,0.0,0.0,0.0,bottom5
FR-BBD3-CAND-c0141,gamma-Hexachlorocyclohexane,biotransformer_envmicro,10,0.0,0.0,0.0,bottom5
FR-BBD3-CAND-c0257,Cyromazine (N-Cyclopropylmelamine),envipath_prediction,1,0.888889,0.875,0.788732,top5
FR-BBD3-PARENT-c1531,Acenaphthylene,envipath_prediction,1,1.0,0.774194,0.774194,top5
FR-BBD3-PARENT-c1266,Bisphenol F,envipath_prediction,1,1.0,0.75,0.75,top5
FR-BBD3-PARENT-c0597,Cyanamide,envipath_prediction,1,0.666667,1.0,0.666667,top5
FR-BBD3-PARENT-c0694,4-Hydroxyacetophenone,envipath_prediction,1,0.8,0.75,0.631579,top5
FR-BBD3-CAND-c0611,"trans-1,3-Dichloropropene",envipath_prediction,1,0.0,0.0,0.0,bottom5
FR-BBD3-CAND-c0282,3-Hydroxytoluene (m-Cresol),envipath_prediction,1,0.0,0.0,0.0,bottom5
FR-BBD3-CAND-c1376,"2,6-Dichlorobenzonitrile (Dichlobenil)",envipath_prediction,1,0.0,0.0,0.0,bottom5
FR-BBD3-CAND-c0141,gamma-Hexachlorocyclohexane,envipath_prediction,1,0.0,0.0,0.0,bottom5
FR-BBD3-CAND-c1570,"(R,R)-Iminodisuccinate",envipath_prediction,1,0.0,0.0,0.0,bottom5
