case_id,parent_name,parent_smiles,parent_smiles_rdkit_canonical
"SPD-BBD-2,4-d","2,4-Dichlorophenoxyacetic Acid",O=C([O-])COc1ccc(Cl)cc1Cl,O=C([O-])COc1ccc(Cl)cc1Cl
SPD-BBD-ala,Alachlor,CCc1cccc(CC)c1N(COC)C(=O)CCl,CCc1cccc(CC)c1N(COC)C(=O)CCl
SPD-BBD-atr,Atrazine,CCNc1nc(Cl)nc(NC(C)C)n1,CCNc1nc(Cl)nc(NC(C)C)n1
SPD-BBD-bpa,Bisphenol A,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1
SPD-BBD-caf,Caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,Cn1c(=O)c2c(ncn2C)n(C)c1=O
SPD-BBD-cbf,Carbofuran,CNC(=O)Oc1cccc2c1OC(C)(C)C2,CNC(=O)Oc1cccc2c1OC(C)(C)C2
SPD-BBD-dce,"1,2-Dichloroethane",ClCCCl,ClCCCl
SPD-BBD-dmta,"N,N-Diethyl-m-toluamide",CCN(CC)C(=O)c1cccc(C)c1,CCN(CC)C(=O)c1cccc(C)c1
SPD-BBD-gly,Glyphosate,O=C([O-])CNCP(=O)([O-])[O-],O=C([O-])CNCP(=O)([O-])[O-]
SPD-BBD-mal,Malathion,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC
SPD-BBD-naph,Naphthalene,c1ccc2ccccc2c1,c1ccc2ccccc2c1
SPD-BBD-nb,Nitrobenzene,O=[N+]([O-])c1ccccc1,O=[N+]([O-])c1ccccc1
SPD-BBD-pha,Phenanthrene,c1ccc2c(c1)ccc1ccccc12,c1ccc2c(c1)ccc1ccccc12
SPD-BBD-pthn,Parathion,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1
SPD-BBD-pyr,Pyrene,c1cc2ccc3cccc4ccc(c1)c2c34,c1cc2ccc3cccc4ccc(c1)c2c34
SPD-BBD-tbp2,Tetrabromobisphenol A,CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1,CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1
SPD-BBD-tce2,Tetrachloroethene,ClC(Cl)=C(Cl)Cl,ClC(Cl)=C(Cl)Cl
SPD-BBD-tol,Toluene,Cc1ccccc1,Cc1ccccc1
