file_role,filename,bytes,sha256,promotion_status,reason
source_patch,SOURCE_PATCH_R1_REGENERATED.diff,381120,074f5c31d516e1f699648008ed86767244e25fb128905e119366ad346f8f027a,FREEZE_REUSE,teacher topology untouched and component tested
driver,as_executed_p15_real_langgraph_chain.py,16925,3857a355fa23ed9c11fb34b83a95f7fb45ccdcb43f594acd708aade73a1e6846,CANDIDATE_REUSE,final attempt executed four children successfully
runner_common,as_executed_p15_shared.py,19953,36e37e5b4fe127d88c94fd0da3a61e70e40161db04c1055709138e29d4711bd3,CANDIDATE_REUSE,observation and normalisation layer
runner_base,as_executed_p15b_chain_base.py,48286,3e4983a10bb726a613d55eb96e9ce3b84fe7d689a3ae4b0b5e5f26eb4cb51708,CANDIDATE_WITH_LIMITATIONS,contains canonical-SMILES and typed-reattach workarounds
runner_staged,as_executed_p15c_chain_staged.py,23357,d89b6ff2b8d24371967894898797e656be84754b303612cf30c10aa789a14146,CANDIDATE_REUSE,final staged run succeeded and matched section7 hashes
runtime_common,as_executed_r1_common.py,20100,424e4de70eae15e8e7fdc83756511987e7d9f688bdc28d1b512f7b5d6c84cd07,CANDIDATE_REUSE,path and identity constants
finalizer,p16_finalize.py,49014,00277e0abd5c652e290c72a501566749d77e6c86c92c6335260b5c8f85b19429,REJECT_FOR_GOLDEN,overstates tests and persistent gate has incorrect 44-byte expectation
validator,p17_validator.py,13612,fc31efcfa5ab2493e599f547d425c5d31b0ce124ef4846bfdf35e161ef2adc75,REJECT_FOR_GOLDEN,trusts weak status and misparses authorized network hosts
mutation,p18_mutations.py,9646,3e57600dce94a15fc0eb6f8e174eb331dd9fc5294fd39261fc5a0b25c32c37f4,REJECT_FOR_GOLDEN,missing original scientific mutation categories
closure,p19_closure.py,22157,c582139a2ae8729aedab3b4968f3a3d31dbbe7b172d61ea891bb7eaa266d8cc6,REJECT_FOR_GOLDEN,depends on rejected validator and sidecars absent locally
