attempt,start_utc,end_utc,observed_wall_seconds,furthest_stage,result,attribution
R3_R1_full_window,2026-09-10T10:17:00Z,2026-09-11T06:11:42Z,71682,stage8A,CHECKPOINTED,"62441 seconds had no command or file-write evidence; not scientific model time"
R3_R1_section7_final,2026-09-11T02:34:17Z,2026-09-11T02:38:22Z,245,forward,PASS_6_OF_6,"real three-GPU computation"
R3_R2_attempt1,2026-09-11T07:04:36Z,2026-09-11T07:18:16Z,821,base_run1,FAIL,"runner Pydantic/dict and input-path defects"
R3_R2_attempt2,2026-09-11T07:23:44Z,2026-09-11T07:26:28Z,164,base_run1,FAIL,"runner defect"
R3_R2_attempt3,2026-09-11T07:30:42Z,2026-09-11T07:37:30Z,408,staged_run1,FAIL,"staged logger/counter defect"
R3_R2_attempt4,2026-09-11T07:42:48Z,2026-09-11T07:49:52Z,425,staged_run1,FAIL,"staged overlay validation defect"
R3_R2_attempt5,2026-09-11T07:51:02Z,2026-09-11T07:58:32Z,449,staged_run1,FAIL,"staged runner defect"
R3_R2_attempt6,2026-09-11T08:02:54Z,2026-09-11T08:12:40Z,586,all_four,FAIL_DETERMINISM,"PYTHONHASHSEED not fixed before process spawn"
R3_R2_attempt7,2026-09-11T08:14:50Z,2026-09-11T08:23:42Z,532,all_four,FAIL_BASE_DETERMINISM,"set/order and live-response normalisation instability"
R3_R2_attempt8,2026-09-11T08:27:09Z,2026-09-11T08:35:59Z,530,all_four,PASS,"final successful technical run"
R3_R2_finalize_validate_close,2026-09-11T08:35:59Z,2026-09-11T08:51:16Z,917,final_evidence,SELF_REPORTED_PASS,"report/validator/mutation/closure generation; local audit found P1 defects"
