module,version_before,before_file,version_after,after_file,changed,under_pinned_prefix,verdict
ase,3.29.0,/usrdata/EnzymeCAGE_envs/enzymecage_py312/lib/python3.12/site-packages/ase/__init__.py,3.29.0,/usrdata/EnzymeCAGE_envs/enzymecage_py312/lib/python3.12/site-packages/ase/__init__.py,False,True,UNCHANGED
torch,2.7.1+cu126,/usr/local/lib/python3.12/dist-packages/torch/__init__.py,2.7.1+cu126,/usr/local/lib/python3.12/dist-packages/torch/__init__.py,False,False,UNCHANGED
torch_geometric,2.8.0,/usrdata/EnzymeCAGE_envs/enzymecage_py312/lib/python3.12/site-packages/torch_geometric/__init__.py,2.8.0,/usrdata/EnzymeCAGE_envs/enzymecage_py312/lib/python3.12/site-packages/torch_geometric/__init__.py,False,True,UNCHANGED
numpy,2.3.1,/usr/local/lib/python3.12/dist-packages/numpy/__init__.py,2.3.1,/usr/local/lib/python3.12/dist-packages/numpy/__init__.py,False,False,UNCHANGED
scipy,1.18.0,/usrdata/EnzymeCAGE_envs/enzymecage_py312/lib/python3.12/site-packages/scipy/__init__.py,1.18.0,/usrdata/EnzymeCAGE_envs/enzymecage_py312/lib/python3.12/site-packages/scipy/__init__.py,False,True,UNCHANGED
sklearn,1.9.0,/usrdata/EnzymeCAGE_envs/enzymecage_py312/lib/python3.12/site-packages/sklearn/__init__.py,1.9.0,/usrdata/EnzymeCAGE_envs/enzymecage_py312/lib/python3.12/site-packages/sklearn/__init__.py,False,True,UNCHANGED
pandas,2.3.1,/usr/local/lib/python3.12/dist-packages/pandas/__init__.py,2.3.1,/usr/local/lib/python3.12/dist-packages/pandas/__init__.py,False,False,UNCHANGED
rdkit,2026.03.3,/usrdata/EnzymeCAGE_envs/enzymecage_py312/lib/python3.12/site-packages/rdkit/__init__.py,2026.03.3,/usrdata/EnzymeCAGE_envs/enzymecage_py312/lib/python3.12/site-packages/rdkit/__init__.py,False,True,UNCHANGED
pydantic,2.12.5,/usrdata/EnzymeCAGE_envs/enzymecage_py312/lib/python3.12/site-packages/pydantic/__init__.py,2.12.5,/usrdata/EnzymeCAGE_envs/enzymecage_py312/lib/python3.12/site-packages/pydantic/__init__.py,False,True,UNCHANGED
langgraph,1.2.9,,1.2.9,,False,False,UNCHANGED
langgraph.graph,,/usr/local/lib/python3.12/site-packages/langgraph/graph/__init__.py,,/usr/local/lib/python3.12/site-packages/langgraph/graph/__init__.py,False,False,UNCHANGED
jsonschema,4.24.1,/usr/local/lib/python3.12/dist-packages/jsonschema/__init__.py,4.24.1,/usr/local/lib/python3.12/dist-packages/jsonschema/__init__.py,False,False,UNCHANGED
yaml,6.0.2,/usr/local/lib/python3.12/dist-packages/yaml/__init__.py,6.0.2,/usr/local/lib/python3.12/dist-packages/yaml/__init__.py,False,False,UNCHANGED
joblib,1.5.3,/usrdata/EnzymeCAGE_envs/enzymecage_py312/lib/python3.12/site-packages/joblib/__init__.py,1.5.3,/usrdata/EnzymeCAGE_envs/enzymecage_py312/lib/python3.12/site-packages/joblib/__init__.py,False,True,UNCHANGED
xgboost,3.3.0,/usrdata/EnzymeCAGE_envs/enzymecage_py312/lib/python3.12/site-packages/xgboost/__init__.py,3.3.0,/usrdata/EnzymeCAGE_envs/enzymecage_py312/lib/python3.12/site-packages/xgboost/__init__.py,False,True,UNCHANGED
enzymecage,,/root/projects/EnzymeCAGE-master/enzymecage/__init__.py,,/root/projects/EnzymeCAGE-master/enzymecage/__init__.py,False,False,UNCHANGED
enzymecage.model,,/root/projects/EnzymeCAGE-master/enzymecage/model.py,,/root/projects/EnzymeCAGE-master/enzymecage/model.py,False,False,UNCHANGED
enzymecage.schnet,,/root/projects/EnzymeCAGE-master/enzymecage/schnet.py,,/root/projects/EnzymeCAGE-master/enzymecage/schnet.py,False,False,UNCHANGED
