original_uid,original_final_status,original_sequence_length,original_sequence_sha256,original_afdb_http_status_from_source_package,uniprot_lookup_status,uniprot_http_status,uniprot_primary_accession,uniprot_secondary_accessions_json,uniprot_entry_type,uniprot_id,organism,canonical_sequence_length,canonical_sequence_sha256,primary_differs_from_original,candidate_accessions_probed_json,afdb_v6_probe_results_json,afdb_v6_available_accessions_json,reviewed_accession_candidate,reviewed_accession_action,candidate_reason,replacement_performed,asset_generation_started,formal_assets_mutated,production_pool_mutated,production_d4_mutated,retryable,review_notes
A0A023GS29,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,369,c64cca979d5eab594d65f5b24ec8d8dfbf0b7fc5077515594c2335cd4ac9c46b,404,DIRECT_LOOKUP_SUCCESS,200,A0A023GS29,[],UniProtKB reviewed (Swiss-Prot),DIOX2_RUTGR,Ruta graveolens,369,c64cca979d5eab594d65f5b24ec8d8dfbf0b7fc5077515594c2335cd4ac9c46b,False,"[""A0A023GS29""]","{""A0A023GS29"": 404}",[],,NO_AVAILABLE_AFDB_V6_ACCESSION_CANDIDATE_FOUND,,False,False,False,False,False,False,same_uniprot_entry_primary_secondary_relationship; No AFDB v6 structure found for any candidate accession
A0A059WGE7,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,865,eb7cabd9e3094b77268cadbe0333da5755bcc95c71441a713a9138ba408acfa6,404,DIRECT_LOOKUP_SUCCESS,200,A0A059WGE7,[],UniProtKB reviewed (Swiss-Prot),RPH_STRSQ,Streptomyces sp,865,eb7cabd9e3094b77268cadbe0333da5755bcc95c71441a713a9138ba408acfa6,False,"[""A0A059WGE7""]","{""A0A059WGE7"": 404}",[],,NO_AVAILABLE_AFDB_V6_ACCESSION_CANDIDATE_FOUND,,False,False,False,False,False,False,same_uniprot_entry_primary_secondary_relationship; No AFDB v6 structure found for any candidate accession
A0A061FLA2,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,365,f2b8316ebeeb699d2ce0887f2f16b82f143047ba6c739b9e1f4dd60a1fc9648e,404,DIRECT_LOOKUP_SUCCESS,200,A0A061FLA2,[],UniProtKB reviewed (Swiss-Prot),BTS4_THECC,Theobroma cacao,365,f2b8316ebeeb699d2ce0887f2f16b82f143047ba6c739b9e1f4dd60a1fc9648e,False,"[""A0A061FLA2""]","{""A0A061FLA2"": 404}",[],,NO_AVAILABLE_AFDB_V6_ACCESSION_CANDIDATE_FOUND,,False,False,False,False,False,False,same_uniprot_entry_primary_secondary_relationship; No AFDB v6 structure found for any candidate accession
A0A077EYL8,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,239,51ab8599b003d5a213ad32219cbcc4c37d1a3b6173b13fe33730c09efec6c880,000,DIRECT_LOOKUP_SUCCESS,200,A0A077EYL8,[],UniProtKB reviewed (Swiss-Prot),NOMT3_NARAP,Narcissus aff. pseudonarcissus MK-2014,239,51ab8599b003d5a213ad32219cbcc4c37d1a3b6173b13fe33730c09efec6c880,False,"[""A0A077EYL8""]","{""A0A077EYL8"": 404}",[],,NO_AVAILABLE_AFDB_V6_ACCESSION_CANDIDATE_FOUND,,False,False,False,False,False,False,same_uniprot_entry_primary_secondary_relationship; No AFDB v6 structure found for any candidate accession
A0A0S0MVI5,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,292,160e34d83f6a9b31fd9b9a2c0b48f512d18cdaff52bd6012b8461c5012294611,404,DIRECT_LOOKUP_SUCCESS,200,A0A0S0MVI5,[],UniProtKB reviewed (Swiss-Prot),GLYDT_BPPAM,Pseudomonas phage PaMx11,292,160e34d83f6a9b31fd9b9a2c0b48f512d18cdaff52bd6012b8461c5012294611,False,"[""A0A0S0MVI5""]","{""A0A0S0MVI5"": 404}",[],,NO_AVAILABLE_AFDB_V6_ACCESSION_CANDIDATE_FOUND,,False,False,False,False,False,False,same_uniprot_entry_primary_secondary_relationship; No AFDB v6 structure found for any candidate accession
A0A0S0MX59,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,140,6fc57825d80df65c3134108a116bffc372774031c72b78ae09a35139406de5e8,404,DIRECT_LOOKUP_SUCCESS,200,A0A0S0MX59,[],UniProtKB reviewed (Swiss-Prot),AT_BPPAM,Pseudomonas phage PaMx11,140,6fc57825d80df65c3134108a116bffc372774031c72b78ae09a35139406de5e8,False,"[""A0A0S0MX59""]","{""A0A0S0MX59"": 404}",[],,NO_AVAILABLE_AFDB_V6_ACCESSION_CANDIDATE_FOUND,,False,False,False,False,False,False,same_uniprot_entry_primary_secondary_relationship; No AFDB v6 structure found for any candidate accession
A0A0S0N8M3,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,286,23b12da39e4a95e02dd3d07a048921c97ad7b4f517186c3f90ec97a1c6603420,404,DIRECT_LOOKUP_SUCCESS,200,A0A0S0N8M3,[],UniProtKB reviewed (Swiss-Prot),FADL_BPPAM,Pseudomonas phage PaMx11,286,23b12da39e4a95e02dd3d07a048921c97ad7b4f517186c3f90ec97a1c6603420,False,"[""A0A0S0N8M3""]","{""A0A0S0N8M3"": 404}",[],,NO_AVAILABLE_AFDB_V6_ACCESSION_CANDIDATE_FOUND,,False,False,False,False,False,False,same_uniprot_entry_primary_secondary_relationship; No AFDB v6 structure found for any candidate accession
A0A0S0N9S9,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,189,4166c0cb4575e8c3120f2b8b0f76bff825200ff065aa99f4cc9145cd993510be,404,DIRECT_LOOKUP_SUCCESS,200,A0A0S0N9S9,[],UniProtKB reviewed (Swiss-Prot),HMUDK_BPPAM,Pseudomonas phage PaMx11,189,4166c0cb4575e8c3120f2b8b0f76bff825200ff065aa99f4cc9145cd993510be,False,"[""A0A0S0N9S9""]","{""A0A0S0N9S9"": 404}",[],,NO_AVAILABLE_AFDB_V6_ACCESSION_CANDIDATE_FOUND,,False,False,False,False,False,False,same_uniprot_entry_primary_secondary_relationship; No AFDB v6 structure found for any candidate accession
A0A125SXN3,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,755,fee563e3e8c0ec03641bb720ae81976ebf156b4884bd772873385701275adcb1,404,DIRECT_LOOKUP_SUCCESS,200,A0A125SXN3,[],UniProtKB reviewed (Swiss-Prot),LCA_LYCCL,Lycopodium clavatum,755,fee563e3e8c0ec03641bb720ae81976ebf156b4884bd772873385701275adcb1,False,"[""A0A125SXN3""]","{""A0A125SXN3"": 404}",[],,NO_AVAILABLE_AFDB_V6_ACCESSION_CANDIDATE_FOUND,,False,False,False,False,False,False,same_uniprot_entry_primary_secondary_relationship; No AFDB v6 structure found for any candidate accession
A0A1E5RIW9,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,348,9fe411087890c8280cc47bef18fac0c3a3bc545940f5e3c31a8ee6af80e73ffc,404,DIRECT_LOOKUP_SUCCESS,200,A0A1E5RIW9,[],UniProtKB reviewed (Swiss-Prot),EAT2_HANUV,Hanseniaspora uvarum,348,9fe411087890c8280cc47bef18fac0c3a3bc545940f5e3c31a8ee6af80e73ffc,False,"[""A0A1E5RIW9""]","{""A0A1E5RIW9"": 404}",[],,NO_AVAILABLE_AFDB_V6_ACCESSION_CANDIDATE_FOUND,,False,False,False,False,False,False,same_uniprot_entry_primary_secondary_relationship; No AFDB v6 structure found for any candidate accession
