UniprotID,sequence_fetch_sec,structure_fetch_sec,p2rank_sec,esm2_3b_sec,gvp_sec,loader_validation_sec,per_uid_total_wall_sec,final_status
A0A009IHW8,0,0,0,0,0,0,8.824368953704834,BLOCKED_AFDB_P2RANK_NO_POCKET
A0A017SPL2,0,0,0,0,0,0,40.262240409851074,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A023GS29,0,0,0,0,0,0,1.6116597652435303,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED
A0A059WGE7,0,0,0,0,0,0,1.7305877208709717,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED
A0A059WI14,0,0,0,0,0,0,6.707276821136475,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A061FLA2,0,0,0,0,0,0,1.5865485668182373,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED
A0A067DDU9,0,0,0,0,0,0,8.773181676864624,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A067DKP1,0,0,0,0,0,0,8.225831747055054,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A067ECN5,0,0,0,0,0,0,11.289457082748413,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A067FI21,0,0,0,0,0,0,8.583340883255005,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A075D654,0,0,0,0,0,0,7.222667694091797,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A075D6M1,0,0,0,0,0,0,7.284815788269043,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A077EYL8,0,0,0,0,0,0,20.84812355041504,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED
A0A089LCJ8,0,0,0,0,0,0,29.064756631851196,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A089MMR2,0,0,0,0,0,0,29.846629858016968,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A0E0S0W9,0,0,0,0,0,0,7.440009832382202,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A0E1RWL5,0,0,0,0,0,0,7.993147850036621,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A0F4YI33,0,0,0,0,0,0,7.698541641235352,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A0F7TWW9,0,0,0,0,0,0,8.214939832687378,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A0F9X418,0,0,0,0,0,0,6.810382127761841,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A0G2JDV3,0,0,0,0,0,0,8.844326496124268,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A0G2JZ79,0,0,0,0,0,0,8.794359683990479,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A0H2V660,0,0,0,0,0,0,9.34127140045166,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A0H2V760,0,0,0,0,0,0,7.9959471225738525,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A0H3DK98,0,0,0,0,0,0,8.623727798461914,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A0H3DN66,0,0,0,0,0,0,7.724483013153076,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A0H3GEM5,0,0,0,0,0,0,6.6351637840271,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A0H3LSV1,0,0,0,0,0,0,7.099971055984497,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A0H3LVU7,0,0,0,0,0,0,8.534318208694458,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A0J9UVX2,0,0,0,0,0,0,8.270166158676147,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A0J9X285,0,0,0,0,0,0,7.039888858795166,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A0M2H929,0,0,0,0,0,0,5.028371334075928,BLOCKED_AFDB_P2RANK_NO_POCKET
A0A0M8N4S6,0,0,0,0,0,0,6.540548324584961,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A0M8N8I0,0,0,0,0,0,0,7.0641374588012695,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A0M8N9Q3,0,0,0,0,0,0,6.7228920459747314,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A0M9VUI4,0,0,0,0,0,0,7.188233852386475,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A0M9VUJ4,0,0,0,0,0,0,6.883496284484863,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A0P0FGV9,0,0,0,0,0,0,5.599497079849243,BLOCKED_AFDB_P2RANK_NO_POCKET
A0A0Q9K4R6,0,0,0,0,0,0,7.778427362442017,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A0Q9K529,0,0,0,0,0,0,12.71279764175415,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A0Q9KFZ4,0,0,0,0,0,0,8.132014036178589,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A0S0MVI5,0,0,0,0,0,0,20.841673374176025,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED
A0A0S0MX59,0,0,0,0,0,0,1.6491351127624512,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED
A0A0S0N8M3,0,0,0,0,0,0,1.9340097904205322,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED
A0A0S0N9S9,0,0,0,0,0,0,1.6296186447143555,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED
A0A0U3AB61,0,0,0,0,0,0,7.571152210235596,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A0U3S9Q3,0,0,0,0,0,0,8.216239213943481,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A0U4AHM6,0,0,0,0,0,0,7.494226932525635,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A0U4BHM2,0,0,0,0,0,0,7.27932071685791,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A0U5G0B1,0,0,0,0,0,0,11.207091569900513,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A0X1KHF9,0,0,0,0,0,0,8.87871503829956,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A125SXN3,0,0,0,0,0,0,3.1553261280059814,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED
A0A125YY17,0,0,0,0,0,0,7.101968288421631,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A125YYB5,0,0,0,0,0,0,8.183751106262207,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A140LIF8,0,0,0,0,0,0,7.974158525466919,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A166ACJ5,0,0,0,0,0,0,7.446519374847412,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A179UL48,0,0,0,0,0,0,10.312307596206665,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A194VNL2,0,0,0,0,0,0,10.936093091964722,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A194W185,0,0,0,0,0,0,8.019004821777344,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A194WDG1,0,0,0,0,0,0,7.947822093963623,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A1B5KW97,0,0,0,0,0,0,9.074928522109985,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A1C3NEV1,0,0,0,0,0,0,11.582272052764893,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A1D8PJ01,0,0,0,0,0,0,10.926468849182129,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A1D9Q0B7,0,0,0,0,0,0,7.350764751434326,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A1D9QMS2,0,0,0,0,0,0,9.895189046859741,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A1E3M8P2,0,0,0,0,0,0,9.385493278503418,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A1E5RIW9,0,0,0,0,0,0,1.6164605617523193,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED
A0A1E5S1A9,0,0,0,0,0,0,1.5563485622406006,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED
A0A1F5L592,0,0,0,0,0,0,7.455360174179077,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A1H1YBL2,0,0,0,0,0,0,7.8186962604522705,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A1L7NVA6,0,0,0,0,0,0,54.12873983383179,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A1L9X985,0,0,0,0,0,0,47.616225242614746,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A1Q5Q699,0,0,0,0,0,0,48.7169086933136,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A1S1YUU1,0,0,0,0,0,0,45.38424348831177,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A1U8CC89,0,0,0,0,0,0,8.64943265914917,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A1V0QSF4,0,0,0,0,0,0,8.359531164169312,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
