UniprotID,p2rank_status,p2rank_version,p2rank_command,p2rank_top_pocket_rank,p2rank_top_pocket_score,p2rank_pocket_residue_count,p2rank_raw_prediction_csv,p2rank_raw_residue_csv,p2rank_log_path
A0A009IHW8,BLOCKED_AFDB_P2RANK_NO_POCKET,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A009IHW8/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A009IHW8/p2rank/A0A009IHW8.ds,,,,,,
A0A017SPL2,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A017SPL2/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A017SPL2/p2rank/A0A017SPL2.ds,1,59.98,44,,,
A0A023GS29,,,,,,,,,
A0A059WGE7,,,,,,,,,
A0A059WI14,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A059WI14/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A059WI14/p2rank/A0A059WI14.ds,1,4.72,9,,,
A0A061FLA2,,,,,,,,,
A0A067DDU9,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A067DDU9/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A067DDU9/p2rank/A0A067DDU9.ds,1,59.02,27,,,
A0A067DKP1,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A067DKP1/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A067DKP1/p2rank/A0A067DKP1.ds,1,71.83,55,,,
A0A067ECN5,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A067ECN5/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A067ECN5/p2rank/A0A067ECN5.ds,1,54.42,30,,,
A0A067FI21,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A067FI21/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A067FI21/p2rank/A0A067FI21.ds,1,54.3,30,,,
