uid,is_forward_uid,enters_forward,sequence_length,sequence_sha256_utf8,distinct_sequence_count,sequence_non_empty,sequence_charset_is_standard_aa,authority_pin_length,authority_pin_sha256,matches_authority_pin,d4_frozen_sequence_sha256,matches_d4_frozen_sha,frozen_sha_provenance,production_index_agrees_with_direct_read,in_gvp,in_pocket_node,sequence_in_esm_mean,gvp_node_xyz_shape,gvp_seq_shape,pocket_node_shape,pocket_nodes_equal_gvp_nodes,esm_mean_shape,esm_mean_abs_sum,esm_mean_nonzero_elements,esm_mean_is_all_zero,has_enzyme_through_production_path,d4_whitelist_present,d4_flags_failed,not_found_fallback_possible,status
A0A011QK89,True,True,388,56aa09b9e047139105d8c71c805344380b5cb783d9db3725606535225e3f14e7,1,True,True,388,56aa09b9e047139105d8c71c805344380b5cb783d9db3725606535225e3f14e7,True,56aa09b9e047139105d8c71c805344380b5cb783d9db3725606535225e3f14e7,True,"authority R1 audit pin, cross-checked against D4",True,True,True,True,"[49, 3]",[49],"[49, 2560]",True,[2560],127.19587707519531,2560,False,True,True,,False,PASS
A0A017SP50,True,True,417,6045b0f386d65e56fb4837a500e3580d203f5b9b1dd403f2537f35c6b968ca4e,1,True,True,417,6045b0f386d65e56fb4837a500e3580d203f5b9b1dd403f2537f35c6b968ca4e,True,6045b0f386d65e56fb4837a500e3580d203f5b9b1dd403f2537f35c6b968ca4e,True,"authority R1 audit pin, cross-checked against D4",True,True,True,True,"[60, 3]",[60],"[60, 2560]",True,[2560],127.98188781738281,2560,False,True,True,,False,PASS
A0A017SR40,False,False,534,0985b72348f8d864d94b0d0486589f2d853c96db8d7012c51535e1aacb292382,1,True,True,,,False,0985b72348f8d864d94b0d0486589f2d853c96db8d7012c51535e1aacb292382,True,D4 whitelist sequence_sha256 (the authority R1 audit carries no sequence pin for this UID),True,True,True,True,"[61, 3]",[61],"[61, 2560]",True,[2560],121.14168548583984,2560,False,True,True,,False,PASS
