reaction_task_id,row_index,expected_uid_from_frame,data_uid,uid_row_association_correct,data_rxn,reaction_matches_frozen_smiles,csv_sequence_length,csv_sequence_sha256,csv_sequence_in_esm_feat_dict,not_found_logged_for_this_row,row_stdout,get_exception,tensor_name,shape,dtype,device,numel,all_finite,abs_sum,nonzero_elements,is_all_zero,min,max,esm_feature_shape,esm_feature_is_zero_fallback,esm_feature_equals_esm_mean_lookup,node_counts_consistent,gvp_node_count,pocket_node_count
RT-1a7bea59ede1acf0,0,A0A011QK89,A0A011QK89,True,c1ccc2[nH]nnc2c1>>Nc1ccccc1C(=O)[O-],True,388,56aa09b9e047139105d8c71c805344380b5cb783d9db3725606535225e3f14e7,True,False,,,esm_feature,[2560],torch.float32,cpu,2560,True,127.19587707519531,2560,False,,,[2560],False,True,True,49,49
RT-1a7bea59ede1acf0,0,A0A011QK89,A0A011QK89,True,c1ccc2[nH]nnc2c1>>Nc1ccccc1C(=O)[O-],True,388,56aa09b9e047139105d8c71c805344380b5cb783d9db3725606535225e3f14e7,True,False,,,node_xyz,"[49, 3]",torch.float32,cpu,147,True,1014.7130126953125,147,False,,,[2560],False,True,True,49,49
RT-1a7bea59ede1acf0,0,A0A011QK89,A0A011QK89,True,c1ccc2[nH]nnc2c1>>Nc1ccccc1C(=O)[O-],True,388,56aa09b9e047139105d8c71c805344380b5cb783d9db3725606535225e3f14e7,True,False,,,products.positions,"[10, 3]",torch.float32,cpu,30,True,27.028003692626953,30,False,,,[2560],False,True,True,49,49
RT-1a7bea59ede1acf0,0,A0A011QK89,A0A011QK89,True,c1ccc2[nH]nnc2c1>>Nc1ccccc1C(=O)[O-],True,388,56aa09b9e047139105d8c71c805344380b5cb783d9db3725606535225e3f14e7,True,False,,,products.x,"[10, 2]",torch.int64,cpu,20,,,,,0,3,[2560],False,True,True,49,49
RT-1a7bea59ede1acf0,0,A0A011QK89,A0A011QK89,True,c1ccc2[nH]nnc2c1>>Nc1ccccc1C(=O)[O-],True,388,56aa09b9e047139105d8c71c805344380b5cb783d9db3725606535225e3f14e7,True,False,,,protein.esm_node_feature,"[49, 2560]",torch.float32,cpu,125440,True,18317.078125,125440,False,,,[2560],False,True,True,49,49
RT-1a7bea59ede1acf0,0,A0A011QK89,A0A011QK89,True,c1ccc2[nH]nnc2c1>>Nc1ccccc1C(=O)[O-],True,388,56aa09b9e047139105d8c71c805344380b5cb783d9db3725606535225e3f14e7,True,False,,,protein.node_s,"[49, 6]",torch.float32,cpu,294,True,183.50411987304688,291,False,,,[2560],False,True,True,49,49
RT-1a7bea59ede1acf0,0,A0A011QK89,A0A011QK89,True,c1ccc2[nH]nnc2c1>>Nc1ccccc1C(=O)[O-],True,388,56aa09b9e047139105d8c71c805344380b5cb783d9db3725606535225e3f14e7,True,False,,,protein.node_v,"[49, 3, 3]",torch.float32,cpu,441,True,218.3634796142578,435,False,,,[2560],False,True,True,49,49
RT-1a7bea59ede1acf0,0,A0A011QK89,A0A011QK89,True,c1ccc2[nH]nnc2c1>>Nc1ccccc1C(=O)[O-],True,388,56aa09b9e047139105d8c71c805344380b5cb783d9db3725606535225e3f14e7,True,False,,,reaction_feature,[2048],torch.float32,cpu,2048,True,49.0,49,False,,,[2560],False,True,True,49,49
RT-1a7bea59ede1acf0,0,A0A011QK89,A0A011QK89,True,c1ccc2[nH]nnc2c1>>Nc1ccccc1C(=O)[O-],True,388,56aa09b9e047139105d8c71c805344380b5cb783d9db3725606535225e3f14e7,True,False,,,seq,[49],torch.int64,cpu,49,,,,,0,19,[2560],False,True,True,49,49
RT-1a7bea59ede1acf0,0,A0A011QK89,A0A011QK89,True,c1ccc2[nH]nnc2c1>>Nc1ccccc1C(=O)[O-],True,388,56aa09b9e047139105d8c71c805344380b5cb783d9db3725606535225e3f14e7,True,False,,,substrates.positions,"[9, 3]",torch.float32,cpu,27,True,21.514299392700195,27,False,,,[2560],False,True,True,49,49
