UniprotID,original_uid,uniprot_query_status,primary_accession,secondary_accessions,canonical_or_isoform,organism,sequence_length,afdb_primary_probe_status,afdb_secondary_probe_status,reviewed_accession_candidate,reviewed_accession_action,review_notes
A0A023GS29,A0A023GS29,,,,,,369,404,,,,AFDB v6 structure could not be fetched for the original UID.
A0A059WGE7,A0A059WGE7,,,,,,865,404,,,,AFDB v6 structure could not be fetched for the original UID.
A0A061FLA2,A0A061FLA2,,,,,,365,404,,,,AFDB v6 structure could not be fetched for the original UID.
A0A077EYL8,A0A077EYL8,,,,,,239,000,,,,AFDB v6 structure could not be fetched for the original UID.
A0A0S0MVI5,A0A0S0MVI5,,,,,,292,404,,,,AFDB v6 structure could not be fetched for the original UID.
A0A0S0MX59,A0A0S0MX59,,,,,,140,404,,,,AFDB v6 structure could not be fetched for the original UID.
A0A0S0N8M3,A0A0S0N8M3,,,,,,286,404,,,,AFDB v6 structure could not be fetched for the original UID.
A0A0S0N9S9,A0A0S0N9S9,,,,,,189,404,,,,AFDB v6 structure could not be fetched for the original UID.
A0A125SXN3,A0A125SXN3,,,,,,755,404,,,,AFDB v6 structure could not be fetched for the original UID.
A0A1E5RIW9,A0A1E5RIW9,,,,,,348,404,,,,AFDB v6 structure could not be fetched for the original UID.
A0A1E5S1A9,A0A1E5S1A9,,,,,,503,404,,,,AFDB v6 structure could not be fetched for the original UID.
A0A217ER65,A0A217ER65,,,,,,259,404,,,,AFDB v6 structure could not be fetched for the original UID.
A0A2H5BHG9,A0A2H5BHG9,,,,,,203,404,,,,AFDB v6 structure could not be fetched for the original UID.
A0A2H5BHJ6,A0A2H5BHJ6,,,,,,387,404,,,,AFDB v6 structure could not be fetched for the original UID.
A0A2L0V130,A0A2L0V130,,,,,,367,404,,,,AFDB v6 structure could not be fetched for the original UID.
A0A2L0V161,A0A2L0V161,,,,,,290,404,,,,AFDB v6 structure could not be fetched for the original UID.
A0A345MJY6,A0A345MJY6,,,,,,256,404,,,,AFDB v6 structure could not be fetched for the original UID.
A0A516KNH9,A0A516KNH9,,,,,,259,404,,,,AFDB v6 structure could not be fetched for the original UID.
A0A7H0DN19,A0A7H0DN19,,,,,,151,404,,,,AFDB v6 structure could not be fetched for the original UID.
A0A7H0DN21,A0A7H0DN21,,,,,,319,404,,,,AFDB v6 structure could not be fetched for the original UID.
A0A7H0DN27,A0A7H0DN27,,,,,,439,404,,,,AFDB v6 structure could not be fetched for the original UID.
A0A7H0DN30,A0A7H0DN30,,,,,,372,404,,,,AFDB v6 structure could not be fetched for the original UID.
A0A7H0DN45,A0A7H0DN45,,,,,,95,404,,,,AFDB v6 structure could not be fetched for the original UID.
A0A7H0DN52,A0A7H0DN52,,,,,,771,404,,,,AFDB v6 structure could not be fetched for the original UID.
A0A7H0DN56,A0A7H0DN56,,,,,,676,404,,,,AFDB v6 structure could not be fetched for the original UID.
A0A7H0DN73,A0A7H0DN73,,,,,,177,404,,,,AFDB v6 structure could not be fetched for the original UID.
A0A7H0DN74,A0A7H0DN74,,,,,,333,404,,,,AFDB v6 structure could not be fetched for the original UID.
A0A7H0DN78,A0A7H0DN78,,,,,,171,404,,,,AFDB v6 structure could not be fetched for the original UID.
A0A7H0DN85,A0A7H0DN85,,,,,,845,404,,,,AFDB v6 structure could not be fetched for the original UID.
A0A7H0DN93,A0A7H0DN93,,,,,,213,404,,,,AFDB v6 structure could not be fetched for the original UID.
A0A7H0DN95,A0A7H0DN95,,,,,,631,404,,,,AFDB v6 structure could not be fetched for the original UID.
A0A7H0DNE2,A0A7H0DNE2,,,,,,346,404,,,,AFDB v6 structure could not be fetched for the original UID.
A0A7H0DNE5,A0A7H0DNE5,,,,,,204,404,,,,AFDB v6 structure could not be fetched for the original UID.
A0A7H0DNE9,A0A7H0DNE9,,,,,,303,404,,,,AFDB v6 structure could not be fetched for the original UID.
A0A7H0DNF0,A0A7H0DNF0,,,,,,503,404,,,,AFDB v6 structure could not be fetched for the original UID.
A0A7U3TBV3,A0A7U3TBV3,,,,,,105,404,,,,AFDB v6 structure could not be fetched for the original UID.
A0A7U3TBV6,A0A7U3TBV6,,,,,,359,404,,,,AFDB v6 structure could not be fetched for the original UID.
A0A7U3TCA2,A0A7U3TCA2,,,,,,175,404,,,,AFDB v6 structure could not be fetched for the original UID.
A0A868BQY3,A0A868BQY3,,,,,,152,404,,,,AFDB v6 structure could not be fetched for the original UID.
A0A8G1LR08,A0A8G1LR08,,,,,,257,404,,,,AFDB v6 structure could not be fetched for the original UID.
A0A913XCT1,A0A913XCT1,,,,,,546,404,,,,AFDB v6 structure could not be fetched for the original UID.
A1E952,A1E952,,,,,,116,404,,,,AFDB v6 structure could not be fetched for the original UID.
A1VE87,A1VE87,,,,,,351,404,,,,AFDB v6 structure could not be fetched for the original UID.
A1YIZ1,A1YIZ1,,,,,,451,404,,,,AFDB v6 structure could not be fetched for the original UID.
A2QDI9,A2QDI9,,,,,,601,404,,,,AFDB v6 structure could not be fetched for the original UID.
A2T3S5,A2T3S5,,,,,,835,404,,,,AFDB v6 structure could not be fetched for the original UID.
A3MZ45,A3MZ45,,,,,,347,404,,,,AFDB v6 structure could not be fetched for the original UID.
A4GT88,A4GT88,,,,,,249,404,,,,AFDB v6 structure could not be fetched for the original UID.
A4KX71,A4KX71,,,,,,944,404,,,,AFDB v6 structure could not be fetched for the original UID.
A4KX74,A4KX74,,,,,,655,404,,,,AFDB v6 structure could not be fetched for the original UID.
A4QDS8,A4QDS8,,,,,,481,404,,,,AFDB v6 structure could not be fetched for the original UID.
A4ZCW6,A4ZCW6,,,,,,835,404,,,,AFDB v6 structure could not be fetched for the original UID.
A4ZU96,A4ZU96,,,,,,156,404,,,,AFDB v6 structure could not be fetched for the original UID.
A5B4D2,A5B4D2,,,,,,680,404,,,,AFDB v6 structure could not be fetched for the original UID.
A5HBG1,A5HBG1,,,,,,648,404,,,,AFDB v6 structure could not be fetched for the original UID.
A5UG02,A5UG02,,,,,,347,404,,,,AFDB v6 structure could not be fetched for the original UID.
A6QP01,A6QP01,,,,,,195,404,,,,AFDB v6 structure could not be fetched for the original UID.
A6TU46,A6TU46,,,,,,158,404,,,,AFDB v6 structure could not be fetched for the original UID.
A7FTE0,A7FTE0,,,,,,158,404,,,,AFDB v6 structure could not be fetched for the original UID.
A7GCV1,A7GCV1,,,,,,158,404,,,,AFDB v6 structure could not be fetched for the original UID.
A7J392,A7J392,,,,,,835,404,,,,AFDB v6 structure could not be fetched for the original UID.
A7J3A0,A7J3A0,,,,,,835,404,,,,AFDB v6 structure could not be fetched for the original UID.
A7J3A4,A7J3A4,,,,,,835,404,,,,AFDB v6 structure could not be fetched for the original UID.
A7YD35,A7YD35,,,,,,267,404,,,,AFDB v6 structure could not be fetched for the original UID.
A8MHJ6,A8MHJ6,,,,,,346,000,,,,AFDB v6 structure could not be fetched for the original UID.
A8Y984,A8Y984,,,,,,655,404,,,,AFDB v6 structure could not be fetched for the original UID.
A9Q1K9,A9Q1K9,,,,,,719,000,,,,AFDB v6 structure could not be fetched for the original UID.
B1NKR1,B1NKR1,,,,,,835,404,,,,AFDB v6 structure could not be fetched for the original UID.
B1NKR5,B1NKR5,,,,,,835,404,,,,AFDB v6 structure could not be fetched for the original UID.
B1NKS7,B1NKS7,,,,,,835,404,,,,AFDB v6 structure could not be fetched for the original UID.
B1NKT1,B1NKT1,,,,,,835,404,,,,AFDB v6 structure could not be fetched for the original UID.
B1NKT9,B1NKT9,,,,,,835,404,,,,AFDB v6 structure could not be fetched for the original UID.
B1NKU3,B1NKU3,,,,,,835,404,,,,AFDB v6 structure could not be fetched for the original UID.
B2BMF9,B2BMF9,,,,,,835,404,,,,AFDB v6 structure could not be fetched for the original UID.
B2BW43,B2BW43,,,,,,210,404,,,,AFDB v6 structure could not be fetched for the original UID.
B2S2W8,B2S2W8,,,,,,291,404,,,,AFDB v6 structure could not be fetched for the original UID.
B3A0L6,B3A0L6,,,,,,11,404,,,,AFDB v6 structure could not be fetched for the original UID.
B3E7F7,B3E7F7,,,,,,346,404,,,,AFDB v6 structure could not be fetched for the original UID.
B3EWG7,B3EWG7,,,,,,9,404,,,,AFDB v6 structure could not be fetched for the original UID.
B3EWG8,B3EWG8,,,,,,10,404,,,,AFDB v6 structure could not be fetched for the original UID.
B3F2X7,B3F2X7,,,,,,835,404,,,,AFDB v6 structure could not be fetched for the original UID.
B3FK34,B3FK34,,,,,,315,404,,,,AFDB v6 structure could not be fetched for the original UID.
B3Y522,B3Y522,,,,,,685,404,,,,AFDB v6 structure could not be fetched for the original UID.
B5E1P6,B5E1P6,,,,,,480,404,,,,AFDB v6 structure could not be fetched for the original UID.
B5E1Q6,B5E1Q6,,,,,,340,404,,,,AFDB v6 structure could not be fetched for the original UID.
B5E1U9,B5E1U9,,,,,,398,404,,,,AFDB v6 structure could not be fetched for the original UID.
B5E217,B5E217,,,,,,177,404,,,,AFDB v6 structure could not be fetched for the original UID.
B5E2R3,B5E2R3,,,,,,294,404,,,,AFDB v6 structure could not be fetched for the original UID.
B5E379,B5E379,,,,,,449,404,,,,AFDB v6 structure could not be fetched for the original UID.
B5E399,B5E399,,,,,,338,404,,,,AFDB v6 structure could not be fetched for the original UID.
B5E3C8,B5E3C8,,,,,,429,404,,,,AFDB v6 structure could not be fetched for the original UID.
B5E4A8,B5E4A8,,,,,,459,404,,,,AFDB v6 structure could not be fetched for the original UID.
B5E4E3,B5E4E3,,,,,,418,404,,,,AFDB v6 structure could not be fetched for the original UID.
B5E4L2,B5E4L2,,,,,,272,404,,,,AFDB v6 structure could not be fetched for the original UID.
B5E4N4,B5E4N4,,,,,,380,404,,,,AFDB v6 structure could not be fetched for the original UID.
B5E4T0,B5E4T0,,,,,,309,404,,,,AFDB v6 structure could not be fetched for the original UID.
B5E4U6,B5E4U6,,,,,,212,404,,,,AFDB v6 structure could not be fetched for the original UID.
B5E4Y3,B5E4Y3,,,,,,328,404,,,,AFDB v6 structure could not be fetched for the original UID.
B5E552,B5E552,,,,,,591,404,,,,AFDB v6 structure could not be fetched for the original UID.
B5E5J6,B5E5J6,,,,,,340,404,,,,AFDB v6 structure could not be fetched for the original UID.
B5E5N2,B5E5N2,,,,,,388,404,,,,AFDB v6 structure could not be fetched for the original UID.
B5E5N3,B5E5N3,,,,,,355,404,,,,AFDB v6 structure could not be fetched for the original UID.
B5E5P6,B5E5P6,,,,,,316,404,,,,AFDB v6 structure could not be fetched for the original UID.
