UniprotID,sequence_source,sequence_length,sequence_sha256,f3_missing_valid_pocket_member,final_missing_pocket_member,phase1_100uid_member,phase1_result_if_any,sampling_stratum_if_available,manifest_derivation
A0A009IHW8,packaged_uid2seq_pkl,269,dbbbb37be9984e82ecd47977d94639477da4d631329fba71a9eb4c74bf36e545,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A017SPL2,packaged_uid2seq_pkl,408,691e04527ac6a2468ee91373407a4befc88bc8423f02a114282fcb2e70bda52a,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A023GS29,packaged_uid2seq_pkl,369,c64cca979d5eab594d65f5b24ec8d8dfbf0b7fc5077515594c2335cd4ac9c46b,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A059WGE7,packaged_uid2seq_pkl,865,eb7cabd9e3094b77268cadbe0333da5755bcc95c71441a713a9138ba408acfa6,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A059WI14,packaged_uid2seq_pkl,161,630a5e1022193a240664c838cafc0c7d8aba4c00729a8de18bb80e3a504feff9,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A061FLA2,packaged_uid2seq_pkl,365,f2b8316ebeeb699d2ce0887f2f16b82f143047ba6c739b9e1f4dd60a1fc9648e,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A067DDU9,packaged_uid2seq_pkl,733,8fbb5919e76d0091840b6a7343cdb226dddd7b17a4473eb4bccbb63d4ccc0833,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A067DKP1,packaged_uid2seq_pkl,442,c09e7768f5b2f32518cb6642f6896e3ceb8e26d633b04eea9b7531b41faeb38e,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A067ECN5,packaged_uid2seq_pkl,761,1eaa06d1b51e99d449ee65dad3185e879fbcff335d4c162d833c7f8b080f25c5,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A067FI21,packaged_uid2seq_pkl,785,25785fd6b87d415f5daff2b4d49d411cd7093cca20174f4fe11e71a54f834edf,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A075D654,packaged_uid2seq_pkl,291,5f6fbe2b81552f7e7a28ff221c30e08ac1e1a42a47658afec5692cdd83f04885,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A075D6M1,packaged_uid2seq_pkl,292,1d64f8836757be86aab995d1a14b3feb88531eb4212b35fbfd7dbdc62567e997,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A077EYL8,packaged_uid2seq_pkl,239,51ab8599b003d5a213ad32219cbcc4c37d1a3b6173b13fe33730c09efec6c880,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A089LCJ8,packaged_uid2seq_pkl,596,92ddb41573a2c8ca97687a2ec29d37e183cbd01214b1e420a77dcd55150f4b9c,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A089MMR2,packaged_uid2seq_pkl,769,40a4249be74e7afcec5840e732edfa8379c2c5142a4cd41cbb1026a8b9c257e7,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
