UniprotID,sequence_length,afdb_model_version,afdb_structure_sha256,p2rank_command,p2rank_version,p2rank_raw_prediction_csv,p2rank_raw_residue_csv,p2rank_log_path,no_pocket_reason,retryable,notes
A0A009IHW8,269,v6,bec53b3812dd9262c0f776c7a7ba1cda92ff5e6538f5978167577190308b2dfc,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A009IHW8/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A009IHW8/p2rank/A0A009IHW8.ds,P2Rank 2.5.1,,,,AFDB structure fetched; P2Rank ran under the approved command contract; no usable top predicted pocket residues were produced or mapped.,False,
A0A0M2H929,131,v6,ba7c7e19d0d0bbd74917d017a3dc65b1aced46767a0e2908d2a076f488d8e36e,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0M2H929/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0M2H929/p2rank/A0A0M2H929.ds,P2Rank 2.5.1,,,,AFDB structure fetched; P2Rank ran under the approved command contract; no usable top predicted pocket residues were produced or mapped.,False,
A0A0P0FGV9,287,v6,f867da97404c91aa8836c8af0a79552bfbb00231dce3436299fa6206f7b9acfe,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0P0FGV9/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0P0FGV9/p2rank/A0A0P0FGV9.ds,P2Rank 2.5.1,,,,AFDB structure fetched; P2Rank ran under the approved command contract; no usable top predicted pocket residues were produced or mapped.,False,
A0AJK9,97,v6,45afd310753af45c07de059516e8c217544c1f4c8876359ac800e76e4698af59,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_20260814/shards/shard_00/per_uid/A0AJK9/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_20260814/shards/shard_00/per_uid/A0AJK9/p2rank/A0AJK9.ds,P2Rank 2.5.1,,,,AFDB structure fetched; P2Rank ran under the approved command contract; no usable top predicted pocket residues were produced or mapped.,False,
A0JRH3,115,v6,f45840a05807af82d37f0b2559a84cc85fbdf40f6f0c35a3cac361a5a7288d54,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_20260814/shards/shard_00/per_uid/A0JRH3/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_20260814/shards/shard_00/per_uid/A0JRH3/p2rank/A0JRH3.ds,P2Rank 2.5.1,,,,AFDB structure fetched; P2Rank ran under the approved command contract; no usable top predicted pocket residues were produced or mapped.,False,
A0JXX7,200,v6,c9d4d52d98e95420dc12304cddbdc7c3294a631e2d9c5cfe2475795a0cb0c4c9,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_20260814/shards/shard_01/per_uid/A0JXX7/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_20260814/shards/shard_01/per_uid/A0JXX7/p2rank/A0JXX7.ds,P2Rank 2.5.1,,,,AFDB structure fetched; P2Rank ran under the approved command contract; no usable top predicted pocket residues were produced or mapped.,False,
A0K2V4,102,v6,2e60e502f6a0c1588ac74f49e921be7030430e35a718953babd4aba2278a0356,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_20260814/shards/shard_02/per_uid/A0K2V4/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_20260814/shards/shard_02/per_uid/A0K2V4/p2rank/A0K2V4.ds,P2Rank 2.5.1,,,,AFDB structure fetched; P2Rank ran under the approved command contract; no usable top predicted pocket residues were produced or mapped.,False,
A0K577,101,v6,736d2907c0e69a1e37da6ba1c0715d3c4e0b43f6d4571edb6ef7991c20bbd287,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_20260814/shards/shard_03/per_uid/A0K577/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_20260814/shards/shard_03/per_uid/A0K577/p2rank/A0K577.ds,P2Rank 2.5.1,,,,AFDB structure fetched; P2Rank ran under the approved command contract; no usable top predicted pocket residues were produced or mapped.,False,
A0K913,101,v6,12d2fd84db0d6187d267744268837c90090a09e0f57961b00143e9fa238e73ed,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_20260814/shards/shard_00/per_uid/A0K913/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_20260814/shards/shard_00/per_uid/A0K913/p2rank/A0K913.ds,P2Rank 2.5.1,,,,AFDB structure fetched; P2Rank ran under the approved command contract; no usable top predicted pocket residues were produced or mapped.,False,
A0KBI0,99,v6,d481df29bead1aad7e2ccfd28645c9fe80b58e4b577c57429ba11e89096f29e5,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_20260814/shards/shard_01/per_uid/A0KBI0/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_20260814/shards/shard_01/per_uid/A0KBI0/p2rank/A0KBI0.ds,P2Rank 2.5.1,,,,AFDB structure fetched; P2Rank ran under the approved command contract; no usable top predicted pocket residues were produced or mapped.,False,
